County,2009,2010,2011
Alameda,24.7,21.7,19
Alpine,,,
Amador,26.3,13.7,16.5
Butte,23.4,23.8,24.1
Calaveras,24.4,24.4,16.7
Colusa,53.7,40.6,28
Contra Costa,22.2,20.6,16.4
Del Norte,60.5,74.4,39.5
El Dorado,19.2,15.6,11.4
Fresno,52.7,51.3,45.2
Glenn,48.4,41.6,39.5
Humboldt,23.5,26.6,26.6
Imperial,64.4,56.7,51.5
Inyo,42.1,27.8,38.2
Kern,62.2,58.1,52.7
Kings,66.3,55.3,56.5
Lake,44.4,43.7,38.3
Lassen,38,37.4,35
Los Angeles,36.7,31.7,28.8
Madera,59.3,56.7,48.1
Marin,13.2,11.8,11.8
Mariposa,35.6,,23.9
Mendocino,40.2,39.5,34.2
Merced,49.4,43.2,42.3
Modoc,35.7,58.3,
Mono,,,34
Monterey,52.1,49.1,45.5
Napa,24,21.9,21.2
Nevada,10.4,15.3,16.9
Orange,25.3,22.4,20.1
Placer,12.7,13.9,11.5
Plumas,26.4,37.7,22.7
Riverside,37.5,32,27.6
Sacramento,34.9,31.1,28.3
San Benito,40.3,19.5,24.5
San Bernardino,44.9,39.8,34.7
San Diego,29.5,29.5,25.6
San Francisco,15.8,12.6,12.7
San Joaquin,43.8,38.1,32.9
San Luis Obispo,15.3,19.3,14
San Mateo,22.9,17.4,14.7
Santa Barbara,34.6,33.9,29.4
Santa Clara,24.3,21.2,18.9
Santa Cruz,27.9,23.8,23.8
Shasta,32.5,32.9,31.3
Sierra,,,
Siskiyou,40.7,40.2,33.2
Solano,31,25.3,24.2
Sonoma,21.2,22,19.1
Stanislaus,42,39.1,34.5
Sutter,39.8,31.6,28.7
Tehama,49.3,47.5,28.4
Trinity,39.4,39.4,42.9
Tulare,68.5,59.3,53
Tuolumne,21.3,16.9,17.9
Ventura,35.4,29.9,27.7
Yolo,16.6,17.4,16.3
Yuba,50.2,53.9,36.4
