id,PreCollege,After1,AtEnd
1,LD/MD,LD/MD,LD/MD
2,ND,LD/MD,HD
3,ND,HD,HD
4,HD,LD/MD,HD
5,HD,ND,LD/MD
6,LD/MD,HD,HD
7,LD/MD,LD/MD,LD/MD
8,ND,HD,LD/MD
9,ND,HD,LD/MD
10,ND,ND,ND
11,ND,HD,HD
12,ND,LD/MD,ND
13,ND,LD/MD,LD/MD
14,ND,LD/MD,ND
15,LD/MD,ND,HD
16,ND,LD/MD,LD/MD
17,HD,ND,LD/MD
18,ND,HD,LD/MD
19,ND,HD,HD
20,LD/MD,LD/MD,LD/MD
21,ND,ND,ND
22,LD/MD,LD/MD,LD/MD
23,ND,LD/MD,LD/MD
24,LD/MD,LD/MD,LD/MD
25,ND,LD/MD,ND
26,ND,HD,LD/MD
27,LD/MD,LD/MD,HD
28,HD,HD,HD
29,ND,HD,HD
30,HD,ND,HD
31,ND,HD,LD/MD
32,ND,ND,ND
33,ND,LD/MD,ND
34,ND,LD/MD,LD/MD
35,ND,LD/MD,LD/MD
36,ND,HD,LD/MD
37,HD,LD/MD,HD
38,HD,LD/MD,HD
39,ND,HD,ND
40,ND,ND,ND
41,HD,LD/MD,HD
42,ND,LD/MD,HD
43,ND,ND,ND
44,HD,HD,LD/MD
45,ND,HD,LD/MD
46,LD/MD,HD,HD
47,ND,ND,ND
48,ND,HD,HD
49,ND,LD/MD,ND
50,LD/MD,ND,HD
51,HD,HD,LD/MD
52,ND,LD/MD,ND
53,LD/MD,ND,HD
54,HD,LD/MD,HD
55,LD/MD,LD/MD,LD/MD
56,LD/MD,ND,HD
57,ND,LD/MD,LD/MD
58,ND,ND,ND
59,ND,HD,LD/MD
60,ND,LD/MD,LD/MD
61,LD/MD,ND,LD/MD
62,ND,HD,LD/MD
63,LD/MD,LD/MD,ND
64,ND,HD,LD/MD
65,LD/MD,ND,HD
66,HD,ND,LD/MD
67,ND,LD/MD,LD/MD
68,LD/MD,LD/MD,HD
69,ND,LD/MD,HD
70,ND,LD/MD,LD/MD
71,ND,HD,HD
72,ND,HD,ND
73,ND,HD,LD/MD
74,ND,LD/MD,LD/MD
75,ND,LD/MD,LD/MD
76,ND,LD/MD,LD/MD
77,ND,HD,LD/MD
78,ND,HD,LD/MD
79,ND,LD/MD,LD/MD
80,ND,LD/MD,ND
81,ND,LD/MD,LD/MD
82,ND,LD/MD,LD/MD
83,LD/MD,LD/MD,LD/MD
84,LD/MD,LD/MD,HD
85,ND,HD,LD/MD
86,ND,ND,HD
87,LD/MD,LD/MD,ND
88,LD/MD,ND,HD
89,ND,HD,LD/MD
90,ND,LD/MD,LD/MD
91,LD/MD,LD/MD,LD/MD
92,LD/MD,LD/MD,HD
93,ND,LD/MD,ND
94,ND,HD,LD/MD
95,ND,LD/MD,LD/MD
96,ND,ND,HD
97,ND,HD,LD/MD
98,LD/MD,ND,HD
99,ND,HD,LD/MD
100,ND,ND,ND
101,ND,HD,LD/MD
102,HD,HD,ND
103,ND,HD,LD/MD
104,LD/MD,LD/MD,LD/MD
105,ND,HD,HD
106,LD/MD,LD/MD,LD/MD
107,HD,LD/MD,HD
108,ND,HD,LD/MD
109,ND,HD,LD/MD
110,HD,LD/MD,HD
111,HD,LD/MD,HD
112,ND,HD,LD/MD
113,ND,LD/MD,HD
114,ND,LD/MD,LD/MD
115,LD/MD,ND,HD
116,HD,LD/MD,LD/MD
117,ND,LD/MD,LD/MD
118,HD,HD,LD/MD
119,HD,ND,LD/MD
120,HD,HD,LD/MD
121,ND,LD/MD,LD/MD
122,HD,LD/MD,HD
123,ND,HD,HD
124,HD,LD/MD,HD
125,ND,HD,HD
126,LD/MD,ND,ND
127,ND,LD/MD,LD/MD
128,ND,HD,HD
129,ND,HD,HD
130,ND,LD/MD,HD
131,HD,LD/MD,HD
132,LD/MD,LD/MD,HD
133,HD,LD/MD,HD
134,ND,ND,ND
135,ND,ND,ND
136,HD,HD,LD/MD
137,ND,LD/MD,LD/MD
138,ND,LD/MD,LD/MD
139,ND,ND,ND
140,ND,LD/MD,ND
141,ND,LD/MD,HD
142,ND,HD,LD/MD
143,ND,HD,HD
144,ND,HD,HD
145,HD,LD/MD,HD
146,ND,ND,ND
147,ND,ND,ND
148,ND,ND,ND
149,ND,HD,LD/MD
150,ND,ND,ND
151,ND,LD/MD,ND
152,ND,LD/MD,LD/MD
153,ND,HD,LD/MD
154,HD,LD/MD,HD
155,HD,LD/MD,HD
156,ND,HD,HD
157,ND,LD/MD,ND
158,HD,LD/MD,HD
159,LD/MD,ND,HD
160,ND,LD/MD,LD/MD
161,LD/MD,LD/MD,HD
162,HD,HD,LD/MD
163,HD,HD,LD/MD
164,LD/MD,LD/MD,HD
165,HD,HD,LD/MD
166,LD/MD,LD/MD,HD
167,ND,LD/MD,LD/MD
168,ND,ND,ND
169,ND,ND,ND
170,LD/MD,LD/MD,HD
171,ND,HD,LD/MD
172,HD,LD/MD,HD
173,ND,HD,LD/MD
174,ND,LD/MD,LD/MD
175,LD/MD,LD/MD,LD/MD
176,ND,ND,HD
177,ND,HD,HD
178,ND,HD,LD/MD
179,ND,HD,LD/MD
180,LD/MD,HD,LD/MD
181,ND,HD,HD
182,ND,ND,ND
183,ND,HD,LD/MD
184,LD/MD,LD/MD,HD
185,ND,LD/MD,LD/MD
186,ND,LD/MD,LD/MD
187,ND,LD/MD,LD/MD
188,ND,HD,HD
189,LD/MD,LD/MD,LD/MD
190,LD/MD,LD/MD,LD/MD
191,ND,ND,ND
192,HD,HD,LD/MD
193,ND,HD,LD/MD
194,LD/MD,HD,LD/MD
195,LD/MD,HD,LD/MD
196,ND,HD,LD/MD
197,LD/MD,LD/MD,LD/MD
198,ND,LD/MD,HD
199,ND,HD,HD
200,LD/MD,ND,HD
201,LD/MD,HD,ND
202,ND,HD,LD/MD
203,ND,HD,LD/MD
204,ND,LD/MD,ND
205,ND,LD/MD,LD/MD
206,LD/MD,HD,LD/MD
207,LD/MD,HD,HD
208,ND,LD/MD,LD/MD
209,LD/MD,HD,ND
210,LD/MD,LD/MD,LD/MD
211,ND,HD,LD/MD
212,LD/MD,ND,HD
213,LD/MD,HD,LD/MD
214,ND,HD,LD/MD
215,ND,ND,ND
216,ND,ND,ND
217,ND,LD/MD,LD/MD
218,LD/MD,LD/MD,HD
219,ND,ND,ND
220,ND,LD/MD,HD
221,ND,LD/MD,HD
222,ND,HD,LD/MD
223,LD/MD,ND,LD/MD
224,HD,LD/MD,HD
225,ND,LD/MD,LD/MD
226,ND,HD,LD/MD
227,ND,HD,HD
228,LD/MD,LD/MD,LD/MD
229,LD/MD,ND,HD
230,ND,HD,LD/MD
231,ND,LD/MD,LD/MD
232,HD,HD,LD/MD
233,ND,ND,ND
234,ND,LD/MD,LD/MD
235,ND,LD/MD,LD/MD
236,LD/MD,LD/MD,LD/MD
237,ND,LD/MD,LD/MD
238,ND,LD/MD,LD/MD
239,HD,HD,LD/MD
240,ND,HD,HD
241,LD/MD,LD/MD,HD
242,ND,LD/MD,LD/MD
243,ND,ND,ND
244,ND,LD/MD,HD
245,HD,LD/MD,HD
246,HD,HD,LD/MD
247,ND,ND,ND
248,ND,HD,LD/MD
249,LD/MD,ND,HD
250,HD,LD/MD,HD
251,ND,HD,LD/MD
252,ND,ND,ND
253,LD/MD,LD/MD,HD
254,ND,ND,LD/MD
255,ND,HD,HD
256,ND,HD,HD
257,ND,HD,LD/MD
258,ND,HD,LD/MD
259,ND,LD/MD,LD/MD
260,ND,HD,LD/MD
261,ND,HD,HD
262,LD/MD,LD/MD,LD/MD
263,ND,LD/MD,LD/MD
264,ND,LD/MD,LD/MD
265,ND,ND,ND
266,LD/MD,HD,LD/MD
267,LD/MD,LD/MD,LD/MD
268,HD,LD/MD,LD/MD
269,ND,LD/MD,LD/MD
270,LD/MD,ND,HD
271,ND,ND,HD
272,ND,LD/MD,ND
273,ND,LD/MD,ND
274,ND,HD,LD/MD
275,LD/MD,ND,LD/MD
276,ND,LD/MD,HD
277,ND,LD/MD,HD
278,ND,LD/MD,ND
279,ND,LD/MD,ND
280,HD,HD,LD/MD
281,ND,HD,LD/MD
282,ND,ND,ND
283,LD/MD,LD/MD,HD
284,LD/MD,LD/MD,HD
285,LD/MD,LD/MD,HD
286,ND,ND,ND
287,ND,HD,HD
288,LD/MD,ND,HD
289,HD,LD/MD,HD
290,ND,ND,HD
291,HD,LD/MD,HD
292,ND,HD,LD/MD
293,ND,LD/MD,ND
294,ND,ND,ND
295,LD/MD,LD/MD,LD/MD
296,ND,LD/MD,LD/MD
297,ND,LD/MD,LD/MD
298,LD/MD,LD/MD,LD/MD
299,ND,HD,LD/MD
300,ND,HD,HD
301,ND,HD,LD/MD
302,ND,LD/MD,HD
303,ND,LD/MD,HD
304,ND,LD/MD,LD/MD
305,HD,ND,LD/MD
306,ND,HD,LD/MD
307,ND,LD/MD,LD/MD
308,ND,HD,LD/MD
309,ND,HD,HD
310,ND,HD,LD/MD
311,ND,LD/MD,ND
312,ND,HD,LD/MD
313,LD/MD,LD/MD,HD
314,LD/MD,ND,HD
315,ND,LD/MD,LD/MD
316,LD/MD,HD,HD
317,HD,HD,LD/MD
318,LD/MD,LD/MD,LD/MD
319,ND,HD,LD/MD
320,ND,LD/MD,ND
321,LD/MD,ND,HD
322,ND,LD/MD,HD
323,HD,ND,LD/MD
324,LD/MD,HD,HD
325,ND,ND,ND
326,HD,LD/MD,LD/MD
327,LD/MD,LD/MD,LD/MD
328,LD/MD,LD/MD,HD
329,ND,ND,ND
330,LD/MD,LD/MD,LD/MD
331,ND,HD,LD/MD
332,ND,LD/MD,HD
333,ND,HD,LD/MD
334,LD/MD,LD/MD,HD
335,ND,LD/MD,LD/MD
