"","Item","CategoryA","CategoryB","propcost"
"1","Cash Awards","Prizes","",0.047369323109598
"2","Medals","Prizes","",0.00602882294122156
"3","T-shirts","Swag","",0.100939721244452
"4","Badges and Lanyards","Office Supplies","",0.0110611675763012
"5","Water bottles","Swag","",0.120576458824431
"6","Information Session Pizza","Food","Pre-DataFest",0.0103351250420941
"7","Friday Dinner (Bon App.)","Food","Friday",0.158751826948666
"8","Saturday Dinner (Thai Garden)","Food","Saturday",0.0775134378157058
"9","COSTCO trip for Snacks","Food","All",0.101114557109748
"10","Saturday Lunch","Food","Saturday",0.0853078446182851
"11","Sunday Appetizers","Food","Sunday",0.0887959493199918
"12","Student Worker Help","Student Labor","",0.0189477292438392
"13","Folders","Office Supplies","",0.00768674925005749
"14","Shuttles","Miscellaneous","",0.0568431877315176
"15","Hotel","Miscellaneous","",0.0256655605212004
"16","Custodial","Miscellaneous","",0.0211870063362929
"17","Coffee Equiment","Coffee","",0.0170710427882789
"18","Water bottles (Promo)","Swag","",0.00163639479833157
"19","Water bottles (Extra)","Swag","",0.00689008336139607
"20","Coffee Machine Rental","Coffee","",0.00426323907986382
"21","T-shirts additional order - Custom Ink","Swag","",0.00505043110390332
"22","Print Shop - badges and awards (15+11.08+signage - ask Manolis)","Miscellaneous","",0.00861260420174509
"23","WB Mason Award Sleeves","Prizes","",0.00426323907986382
"24","Mondos","Food","",0.00344504168069803
"25","Neon Deli","Food","Saturday",0.00203085207077149
"26","Postage Estimate","Miscellaneous","",0.00861260420174509
