FIPS Code,State,Area name,ContinuumCode,NumberLessThanHS,NumberHSOnly,SomeCollege,BachelorOrHigher
01001,AL,Autauga County,2,"5,012","12,139","11,132","7,950"
01003,AL,Baldwin County,3,"14,615","38,401","42,104","38,147"
01005,AL,Barbour County,6,"4,790","6,300","5,183","2,563"
01007,AL,Bibb County,1,"3,466","6,283","4,328","1,606"
01009,AL,Blount County,1,"8,567","13,471","12,225","4,789"
01011,AL,Bullock County,6,"2,511","2,353","1,393","1,026"
01013,AL,Butler County,6,"3,288","5,214","3,528","2,011"
01015,AL,Calhoun County,3,"15,674","25,495","24,199","13,299"
01017,AL,Chambers County,6,"5,367","8,885","6,658","2,911"
01019,AL,Cherokee County,6,"3,856","6,747","5,620","2,583"
01021,AL,Chilton County,1,"6,605","11,753","7,057","3,978"
01023,AL,Choctaw County,9,"2,481","3,368","2,493","1,222"
01025,AL,Clarke County,7,"3,424","7,566","4,175","2,055"
01027,AL,Clay County,9,"2,418","3,487","2,890",825
01029,AL,Cleburne County,8,"2,543","3,982","2,694","1,089"
01031,AL,Coffee County,4,"5,797","10,241","10,350","7,975"
01033,AL,Colbert County,3,"6,222","12,851","12,230","6,706"
01035,AL,Conecuh County,7,"2,142","3,826","2,219",743
01037,AL,Coosa County,8,"1,981","3,249","2,243",745
01039,AL,Covington County,6,"5,300","9,025","8,299","3,854"
01041,AL,Crenshaw County,8,"2,205","3,678","2,456","1,188"
01043,AL,Cullman County,4,"10,219","18,381","18,394","8,386"
01045,AL,Dale County,4,"5,062","10,301","12,178","5,588"
01047,AL,Dallas County,4,"6,183","9,811","7,699","4,006"
01049,AL,DeKalb County,6,"12,650","16,418","12,689","5,324"
01051,AL,Elmore County,2,"6,924","19,002","16,489","11,549"
01053,AL,Escambia County,6,"5,554","10,431","6,667","3,242"
01055,AL,Etowah County,3,"12,837","23,147","24,606","11,046"
01057,AL,Fayette County,6,"2,853","4,543","2,890","1,649"
01059,AL,Franklin County,6,"5,416","7,706","5,726","2,314"
01061,AL,Geneva County,3,"4,108","7,221","5,298","2,106"
01063,AL,Greene County,8,"1,468","2,159","1,583",678
01065,AL,Hale County,3,"2,130","4,225","2,560","1,449"
01067,AL,Henry County,3,"2,519","4,407","3,319","2,062"
01069,AL,Houston County,3,"10,952","23,629","21,152","13,990"
01071,AL,Jackson County,6,"9,187","13,893","9,278","4,812"
01073,AL,Jefferson County,1,"54,313","117,854","136,556","134,400"
