"","FIPS.Code","State","Area.name","ContinuumCode","NumberLessThanHS","NumberHSOnly","SomeCollege","BachelorOrHigher","BachelorOrHigherProp","NumberLessThanHSProp","NumberHSOnlyProp","SomeCollegeProp"
"1",2000,"AK","Alaska",NA,37700,126611,168570,127438,0.276847142959556,0.081899726059537,0.275050562761911,0.366202568218996
"2",4000,"AZ","Arizona",NA,604392,1050079,1469229,1161076,0.270977059244171,0.1410556817906,0.245072087782418,0.342895171182811
"3",5000,"AR","Arkansas",NA,306199,682451,558722,402591,0.206460840539026,0.157028107712813,0.349981512469724,0.286529539278438
"4",6000,"CA","California",NA,4602986,5153257,7400714,7708909,0.310019727444843,0.185112635932326,0.207242209058796,0.297625427564035
"5",8000,"CO","Colorado",NA,332246,759335,1068138,1293684,0.374611361604771,0.0962082907786899,0.219880216702192,0.309300130914347
"6",9000,"CT","Connecticut",NA,257011,677887,612128,908551,0.36999491361908,0.104664199086406,0.276060168343326,0.249280718951187
"7",10000,"DE","Delaware",NA,74267,195806,168049,182764,0.294359995232619,0.119614550819313,0.315365461614531,0.270659992333536
"8",12000,"FL","Florida",NA,1837056,4024052,4071061,3629427,0.267625359139146,0.135460162653422,0.296724072889356,0.300190405318076
"9",13000,"GA","Georgia",NA,959360,1832086,1804077,1814893,0.283116259537603,0.149656434153415,0.285798300765504,0.281429005543478
"10",15000,"HI","Hawaii",NA,88221,267413,305489,289740,0.304712666283155,0.0927799272871066,0.281231891450188,0.32127551497955
"11",16000,"ID","Idaho",NA,110254,281600,365519,258114,0.25417755224833,0.108572537117659,0.277305371708353,0.359944538925658
"12",17000,"IL","Illinois",NA,1062144,2312018,2456459,2729934,0.318896847225443,0.124074198460263,0.270078049846067,0.286950904468227
"13",18000,"IN","Indiana",NA,531151,1498978,1244894,1012796,0.236203067340296,0.123874398616173,0.349589849758117,0.290332684285414
"14",19000,"IA","Iowa",NA,178072,662847,660718,537305,0.263521473391592,0.0873354906613332,0.325093602466377,0.324049433480697
"15",20000,"KS","Kansas",NA,187108,505960,596941,571885,0.307152286864881,0.100493368580596,0.271744793205199,0.320609551349325
"16",21000,"KY","Kentucky",NA,486190,991520,821967,640032,0.217719508971806,0.165387118248779,0.33728508502032,0.279608287759095
"17",23000,"ME","Maine",NA,82385,318017,278677,268880,0.283640959155406,0.0869077671080711,0.335475479424743,0.293975794311779
"18",24000,"MD","Maryland",NA,437195,1022911,1031309,1481778,0.372943876625173,0.110036185002843,0.257453136557927,0.259566801814057
"19",25000,"MA","Massachusetts",NA,477954,1165918,1094038,1823436,0.399758316952935,0.104783544155607,0.255608322631083,0.239849816260376
"20",26000,"MI","Michigan",NA,710005,1997619,2163544,1748666,0.264155566438675,0.107254200029789,0.301762702810977,0.326827530720559
"21",27000,"MN","Minnesota",NA,277778,951353,1176185,1193912,0.331713356308631,0.0771771057571235,0.26432140447896,0.326788133455285
"22",28000,"MS","Mississippi",NA,348490,583633,603704,393764,0.204066043011187,0.180603039711524,0.302464615558427,0.312866301718862
