Above Median?,Date,Lower CI,Median,Number of Records,Upper CI,Year
below median,1/1/1850,-0.63,-0.70,1,-0.76,1850/01
below median,2/1/1850,-0.22,-0.28,1,-0.34,1850/02
below median,3/1/1850,-0.68,-0.73,1,-0.80,1850/03
below median,4/1/1850,-0.50,-0.57,1,-0.63,1850/04
below median,5/1/1850,-0.28,-0.33,1,-0.38,1850/05
below median,6/1/1850,-0.16,-0.21,1,-0.27,1850/06
below median,7/1/1850,-0.08,-0.13,1,-0.19,1850/07
below median,8/1/1850,-0.18,-0.23,1,-0.28,1850/08
below median,9/1/1850,-0.39,-0.44,1,-0.50,1850/09
below median,10/1/1850,-0.39,-0.45,1,-0.51,1850/10
below median,11/1/1850,-0.14,-0.19,1,-0.25,1850/11
below median,12/1/1850,-0.21,-0.27,1,-0.33,1850/12
below median,1/1/1851,-0.23,-0.30,1,-0.36,1851/01
below median,2/1/1851,-0.28,-0.36,1,-0.42,1851/02
below median,3/1/1851,-0.43,-0.49,1,-0.55,1851/03
below median,4/1/1851,-0.38,-0.45,1,-0.51,1851/04
below median,5/1/1851,-0.26,-0.30,1,-0.36,1851/05
below median,6/1/1851,-0.13,-0.19,1,-0.25,1851/06
below median,7/1/1851,-0.16,-0.22,1,-0.27,1851/07
below median,8/1/1851,-0.10,-0.15,1,-0.20,1851/08
below median,9/1/1851,-0.05,-0.11,1,-0.16,1851/09
below median,10/1/1851,0.00,-0.06,1,-0.12,1851/10
below median,11/1/1851,0.02,-0.03,1,-0.09,1851/11
below median,12/1/1851,-0.01,-0.07,1,-0.13,1851/12
below median,1/1/1852,-0.23,-0.31,1,-0.36,1852/01
below median,2/1/1852,-0.41,-0.48,1,-0.53,1852/02
below median,3/1/1852,-0.45,-0.51,1,-0.57,1852/03
below median,4/1/1852,-0.49,-0.56,1,-0.62,1852/04
below median,5/1/1852,-0.16,-0.21,1,-0.26,1852/05
below median,6/1/1852,0.02,-0.04,1,-0.10,1852/06
below median,7/1/1852,0.04,-0.02,1,-0.07,1852/07
below median,8/1/1852,-0.15,-0.20,1,-0.25,1852/08
below median,9/1/1852,-0.07,-0.13,1,-0.18,1852/09
below median,10/1/1852,-0.16,-0.22,1,-0.28,1852/10
below median,11/1/1852,-0.14,-0.19,1,-0.25,1852/11
above median,12/1/1852,0.14,0.08,1,0.02,1852/12
below median,1/1/1853,-0.10,-0.18,1,-0.23,1853/01
below median,2/1/1853,-0.26,-0.33,1,-0.38,1853/02
below median,3/1/1853,-0.26,-0.32,1,-0.38,1853/03
below median,4/1/1853,-0.28,-0.35,1,-0.41,1853/04
below median,5/1/1853,-0.22,-0.27,1,-0.32,1853/05
below median,6/1/1853,-0.12,-0.18,1,-0.24,1853/06
below median,7/1/1853,0.00,-0.06,1,-0.11,1853/07
below median,8/1/1853,-0.10,-0.15,1,-0.20,1853/08
below median,9/1/1853,-0.36,-0.41,1,-0.46,1853/09
below median,10/1/1853,-0.30,-0.36,1,-0.41,1853/10
below median,11/1/1853,-0.20,-0.26,1,-0.31,1853/11
below median,12/1/1853,-0.39,-0.44,1,-0.50,1853/12
below median,1/1/1854,-0.29,-0.36,1,-0.41,1854/01
below median,2/1/1854,-0.22,-0.28,1,-0.33,1854/02
below median,3/1/1854,-0.23,-0.28,1,-0.34,1854/03
below median,4/1/1854,-0.28,-0.35,1,-0.41,1854/04
below median,5/1/1854,-0.18,-0.23,1,-0.29,1854/05
below median,6/1/1854,-0.16,-0.22,1,-0.27,1854/06
below median,7/1/1854,-0.17,-0.23,1,-0.28,1854/07
below median,8/1/1854,-0.12,-0.16,1,-0.21,1854/08
below median,9/1/1854,-0.06,-0.12,1,-0.17,1854/09
below median,10/1/1854,-0.13,-0.19,1,-0.24,1854/10
