Age,Single Male,Married Male,Widowed Male,Divorced Male,Single Female,Married Female,Widowed Female,Divorced Female
0,301,0,0,0,288.1,0,0,0
1,309.6,0,0,0,294.5,0,0,0
2,317.7,0,0,0,302.2,0,0,0
3,322.8,0,0,0,307.9,0,0,0
4,331.3,0,0,0,315.8,0,0,0
5,329.4,0,0,0,313.3,0,0,0
6,330.7,0,0,0,314,0,0,0
7,338.4,0,0,0,322,0,0,0
8,342.4,0,0,0,326.1,0,0,0
9,352.9,0,0,0,336.8,0,0,0
10,359.1,0,0,0,341.4,0,0,0
11,353.3,0,0,0,335.9,0,0,0
12,349.4,0,0,0,332.7,0,0,0
13,353.4,0,0,0,336.3,0,0,0
14,344.3,0,0,0,328.5,0,0,0
15,340.4,0,0,0,323.4,0,0,0
16,343.1,0.7,0.3,0.2,322.9,0.9,0.2,0.2
17,329.7,0.9,0.2,0.3,310.8,2,0.3,0.2
18,320.1,1.3,0.2,0.2,303.3,4.3,0.2,0.3
19,311.6,2.6,0.2,0.2,299.9,9,0.3,0.3
20,321,5,0.2,0.3,307.6,15.7,0.3,0.5
21,319.1,8.7,0.1,0.3,300.6,24.5,0.3,0.9
22,303.2,13.3,0.1,0.4,281.3,33.3,0.2,1.4
23,283.2,19.1,0.1,0.7,257.2,44.6,0.3,2.2
24,275,28.3,0.1,1.1,243.5,59.9,0.4,3.3
25,273.8,41.6,0.2,2,233.7,77.6,0.3,4.9
26,269,59,0.2,3.2,223.9,98.8,0.4,7.3
27,257.6,80.1,0.2,4.9,210.6,122.4,0.5,10.7
28,252,105.7,0.2,7.4,201,149.2,0.7,14.8
29,240.7,133.4,0.3,10.5,189.7,177.4,0.8,20.1
30,222.8,158.1,0.4,14.3,173.5,199.8,1,25.2
31,199,176,0.4,17.7,152.1,212.8,1.2,29.7
32,183.7,197.4,0.4,21.6,139.6,231.3,1.4,35.1
33,168.7,212.3,0.6,25.2,127.4,242.7,1.5,39.3
34,159.7,227.7,0.6,29.6,118.1,255.8,1.8,44.2
35,145,238.5,0.7,32.8,107.8,263.9,2,48.1
36,133.2,247.8,0.9,36,98.7,271.3,2.4,51.4
37,120.8,253.1,0.9,38.7,89,274.7,2.6,53.9
38,108.5,255.9,1,40.5,78.9,275,2.9,56.3
39,96.3,255.7,1.1,42.2,69.9,271.5,3.2,58.3
40,86.6,254.7,1.2,43,61.4,268.4,3.7,58.4
41,77.8,249.4,1.4,43.3,53.9,260.7,4.1,57.6
42,71.2,247.7,1.5,44.5,49.2,257.6,4.5,57.6
43,65.2,248,1.7,45.3,44,256.4,5.1,58.3
44,58.6,243.3,1.9,44.9,39,249.8,5.8,57.9
45,53.2,237,2,44,35.1,243.7,6.1,55.9
46,49,233.1,2.2,43.4,31.6,239.7,6.7,54.9
47,46.6,236.9,2.4,44,29.4,242.7,7.6,55.7
48,43.3,236.7,2.8,43.9,26.9,241.2,8.5,55.2
49,40.5,236,3.3,43.5,24.7,240.8,9.3,54.3
50,38.4,239.2,3.5,43.6,23.1,243.9,10.4,53.7
51,37.4,248.6,4.1,44.5,22.2,252.4,11.9,55.2
52,36.6,260.1,4.7,44.7,21.3,261.5,13.6,55.5
53,37.2,282.1,5.7,47.4,21,283,16.7,57.8
54,36.9,300.8,6.5,48.8,20.7,298.6,19.7,59.1
55,29.1,245.6,5.8,39.2,16.4,242.9,18.3,47.7
56,27.3,241.7,6.4,37.3,15.6,236.7,20.7,45.3
57,25.8,237.6,6.9,35.5,14.8,230.2,22.8,42.5
58,24.6,227.1,7.3,32.9,14.2,219,24.6,39.4
59,21.6,204,7.2,29.2,12.7,195.9,25.7,34.7
60,19.8,190.9,7.7,26.7,11.7,182.2,27.4,31.7
61,19.9,199.4,9,26.5,12.3,186.9,32.2,32
62,19.3,199.9,10.2,25.4,12.6,184.7,36,30.9
63,19.1,197.7,11.1,24.2,12.6,179.8,39.6,29.3
64,18.5,192.1,12.1,22.3,12.6,172.4,43.2,27.2
65,17.7,185.2,12.9,20.4,12.4,164.6,47.1,25
66,16.8,178.6,13.9,18.9,12.3,156.4,50.5,22.9
67,16.2,169,14.8,16.7,12.3,146.5,54.1,20.9
68,16,165.1,16.2,15.5,12.7,141.6,60.2,19.3
69,16,162.6,18,14.4,13,137.5,66.8,18.2
70,16.1,158.5,19.5,13.4,13.4,133.2,74,17.1
71,15.4,150.5,20.9,11.9,13.6,124.6,79.7,15.8
72,14.5,141.3,22.3,10.5,13.5,114.7,83.8,14.2
