"","Education","MaritalStatus","HHIncome2"
"1","High School","Married","25000-34999"
"2","High School","Married","25000-34999"
"3","High School","Married","25000-34999"
"4","Some College","LivePartner","35000-44999"
"5","College Grad","Married","75000-99999"
"6","College Grad","Married","75000-99999"
"7","College Grad","Married","75000-99999"
"8","Some College","Married","25000-34999"
"9","College Grad","Divorced","more 99999"
"10","9 - 11th Grade","Married","65000-74999"
"11","High School","Married","75000-99999"
"12","Some College","NeverMarried","<20000"
"13","High School","Married","25000-34999"
"14","High School","Married","<20000"
"15","College Grad","Married","75000-99999"
"16","College Grad","Married","75000-99999"
"17","College Grad","Divorced","55000-64999"
"18","College Grad","Divorced","55000-64999"
"19","Some College","Married","20000-24999"
"20","9 - 11th Grade","Separated","65000-74999"
"21","9 - 11th Grade","Married","35000-44999"
"22","9 - 11th Grade","Married","35000-44999"
"23","8th Grade","Widowed","<20000"
"24","College Grad","Married","75000-99999"
"25","8th Grade","Widowed","20000-24999"
"26","8th Grade","Widowed","20000-24999"
"27","College Grad","Married","65000-74999"
"28","College Grad","Married","65000-74999"
"29","Some College","LivePartner","25000-34999"
"30","Some College","Married","75000-99999"
"31","High School","NeverMarried","<20000"
"32","High School","Married","35000-44999"
"33","High School","Married","more 99999"
"34","Some College","NeverMarried","45000-54999"
"35","Some College","NeverMarried","45000-54999"
"36","College Grad","Married","more 99999"
"37","8th Grade","Widowed","<20000"
"38","8th Grade","Married","<20000"
"39","8th Grade","Married","<20000"
"40","College Grad","NeverMarried","<20000"
"41","College Grad","NeverMarried","<20000"
"42","College Grad","NeverMarried","<20000"
"43","College Grad","Widowed","35000-44999"
"44","College Grad","Widowed","35000-44999"
"45","Some College","LivePartner","65000-74999"
"46","8th Grade","Married","55000-64999"
"47","8th Grade","Married","55000-64999"
"48","8th Grade","Married","55000-64999"
"49","College Grad","Married","more 99999"
"50","College Grad","Married","more 99999"
"51","College Grad","Married","more 99999"
"52","College Grad","Married","more 99999"
"53","College Grad","Married","more 99999"
"54","College Grad","Married","more 99999"
"55","College Grad","Married","more 99999"
"56","9 - 11th Grade","Married","<20000"
"57","9 - 11th Grade","Married","<20000"
"58","High School","NeverMarried","65000-74999"
"59","College Grad","NeverMarried","more 99999"
"60","9 - 11th Grade","Widowed","<20000"
"61","High School","Married","65000-74999"
"62","College Grad","Married","more 99999"
"63","9 - 11th Grade","Married","65000-74999"
"64","9 - 11th Grade","Married","20000-24999"
"65","9 - 11th Grade","Married","20000-24999"
"66","College Grad","Married","more 99999"
"67","College Grad","Married","more 99999"
"68","College Grad","Married","more 99999"
"69","College Grad","Married","20000-24999"
"70","College Grad","Married","20000-24999"
"71","College Grad","Married","20000-24999"
"72","High School","Married","35000-44999"
"73","High School","Married","55000-64999"
"74","High School","Married","55000-64999"
"75","8th Grade","Married","<20000"
"76","9 - 11th Grade","Widowed","more 99999"
"77","College Grad","LivePartner","more 99999"
"78","College Grad","LivePartner","more 99999"
"79","College Grad","LivePartner","more 99999"
"80","College Grad","LivePartner","more 99999"
"81","High School","Married","65000-74999"
"82","Some College","Divorced","<20000"
"83","Some College","Separated","more 99999"
