State,AdultsObese,AdultsOverweight,Children
Alabama,0.3,0.65,0.17
Alaska,0.27,0.65,0.11
Arizona,0.23,0.6,0.12
Arkansas,0.28,0.65,0.16
California,0.23,0.59,0.13
Colorado,0.21,0.55,0.1
Connecticut,0.21,0.59,0.12
District of Columbia,0.22,0.55,0.15
Delaware,0.26,0.64,0.23
Florida,0.23,0.61,0.14
Georgia,0.28,0.63,0.16
Hawaii,0.21,0.55,0.13
Idaho,0.25,0.61,0.1
Illinois,0.25,0.62,0.16
Indiana,0.28,0.63,0.16
Iowa,0.26,0.63,0.13
Kansas,0.26,0.62,0.14
Kentucky,0.28,0.67,0.21
Louisiana,0.3,0.64,0.17
Maine,0.24,0.61,0.13
Maryland,0.25,0.62,0.13
Massachusetts,0.21,0.57,0.14
Michigan,0.28,0.64,0.15
Minnesota,0.25,0.62,0.1
Mississippi,0.34,0.67,0.18
Missouri,0.27,0.63,0.16
Montana,0.22,0.6,0.11
Nebraska,0.27,0.64,0.12
Nevada,0.24,0.62,0.12
New Hampshire,0.24,0.61,0.13
New Jersey,0.23,0.61,0.14
New Mexico,0.23,0.6,0.17
New York,0.24,0.6,0.15
North Carolina,0.27,0.63,0.19
North Dakota,0.26,0.65,0.12
Ohio,0.27,0.63,0.14
Oklahoma,0.28,0.64,0.15
Oregon,0.25,0.61,0.14
Pennsylvania,0.26,0.62,0.13
Rhode Island,0.21,0.6,0.12
South Carolina,0.29,0.65,0.19
South Dakota,0.26,0.64,0.12
Tennessee,0.29,0.65,0.2
Texas,0.27,0.64,0.19
Utah,0.22,0.56,0.09
Vermont,0.21,0.57,0.11
Virginia,0.25,0.62,0.14
Washington,0.25,0.61,0.11
West Virginia,0.31,0.67,0.21
Wisconsin,0.26,0.62,0.14
Wyoming,0.24,0.62,0.09
