"","DriversKilled","DriversInjured","front","rear","PetrolPrice","VanKilled","law","Year","Month"
"1",107,1687,867,269,0.102971811805368,12,"No",1969,"January"
"2",97,1508,825,265,0.102362995884646,6,"No",1969,"February"
"3",102,1507,806,319,0.102062490635914,12,"No",1969,"March"
"4",87,1385,814,407,0.100873300511862,8,"No",1969,"April"
"5",119,1632,991,454,0.101019672891934,10,"No",1969,"May"
"6",106,1511,945,427,0.10058119170287,13,"No",1969,"June"
"7",110,1559,1004,522,0.103773981457839,11,"No",1969,"July"
"8",106,1630,1091,536,0.104076403554621,6,"No",1969,"August"
"9",107,1579,958,405,0.103773981457839,10,"No",1969,"September"
"10",134,1653,850,437,0.103026401330572,16,"No",1969,"October"
"11",147,2152,1109,434,0.102730112155946,13,"No",1969,"November"
"12",180,2148,1113,437,0.101997191539847,14,"No",1969,"December"
"13",125,1752,925,316,0.101274563494893,14,"No",1970,"January"
"14",134,1765,903,311,0.10070397563972,6,"No",1970,"February"
"15",110,1717,1006,351,0.100139606658898,8,"No",1970,"March"
"16",102,1558,892,362,0.0986211043713023,11,"No",1970,"April"
"17",103,1575,990,486,0.0983492854059603,7,"No",1970,"May"
"18",111,1520,866,429,0.0980801772105387,13,"No",1970,"June"
"19",120,1805,1095,551,0.0972792082183714,13,"No",1970,"July"
"20",129,1800,1204,646,0.0974106238350488,11,"No",1970,"August"
"21",122,1719,1029,456,0.0974252365245483,11,"No",1970,"September"
"22",183,2008,1147,475,0.0963806330037465,14,"No",1970,"October"
"23",169,2242,1171,456,0.0957389559626943,16,"No",1970,"November"
"24",190,2478,1299,468,0.0951063062359475,14,"No",1970,"December"
"25",134,2030,944,356,0.0967359671470176,17,"No",1971,"January"
"26",108,1655,874,271,0.0961092224873678,16,"No",1971,"February"
"27",104,1693,840,354,0.095367254851379,15,"No",1971,"March"
"28",117,1623,893,427,0.0947095915871269,13,"No",1971,"April"
"29",157,1805,1007,465,0.0941176202174608,13,"No",1971,"May"
"30",148,1746,973,440,0.0935321548190638,15,"No",1971,"June"
"31",130,1795,1097,539,0.0929540494377308,12,"No",1971,"July"
"32",140,1926,1194,646,0.0928397862431927,6,"No",1971,"August"
"33",136,1619,988,457,0.0927247362539862,9,"No",1971,"September"
"34",140,1992,1077,446,0.0922696509793897,13,"No",1971,"October"
"35",187,2233,1045,402,0.0917066851479679,14,"No",1971,"November"
"36",150,2192,1115,441,0.0912620719433678,15,"No",1971,"December"
"37",159,2080,1005,359,0.090711603254936,14,"No",1972,"January"
"38",143,1768,857,334,0.090276328119195,3,"No",1972,"February"
"39",114,1835,879,312,0.0899519176272147,12,"No",1972,"March"
"40",127,1569,887,427,0.0890996386561615,13,"No",1972,"April"
"41",159,1976,1075,434,0.0886791925043499,12,"No",1972,"May"
"42",156,1853,1121,486,0.0881592888670634,8,"No",1972,"June"
"43",138,1965,1190,569,0.0889020568552906,8,"No",1972,"July"
"44",120,1689,1058,523,0.0881813314444876,15,"No",1972,"August"
"45",117,1778,939,418,0.0889402929599117,8,"No",1972,"September"
"46",170,1976,1074,452,0.0877266104275971,5,"No",1972,"October"
"47",168,2397,1089,462,0.087428846437772,17,"No",1972,"November"
"48",198,2654,1208,497,0.0870354301608856,14,"No",1972,"December"
"49",144,2097,903,354,0.0864499193294655,13,"No",1973,"January"
"50",146,1963,916,347,0.0858726409121568,5,"No",1973,"February"
"51",109,1677,787,276,0.0853982218357345,8,"No",1973,"March"
"52",131,1941,1114,472,0.083821981233605,5,"No",1973,"April"
"53",151,2003,1014,487,0.0845907801489325,12,"No",1973,"May"
"54",140,1813,1022,505,0.0841369037739444,11,"No",1973,"June"
"55",153,2012,1114,619,0.0837784051341314,13,"No",1973,"July"
"56",140,1912,1132,640,0.0835107427259604,15,"No",1973,"August"
"57",161,2084,1111,559,0.0828063938633846,11,"No",1973,"September"
"58",168,2080,1008,453,0.0811788933269884,11,"No",1973,"October"
"59",152,2118,916,418,0.0828536069623417,10,"No",1973,"November"
"60",136,2150,992,419,0.0941901186933595,13,"No",1973,"December"
"61",113,1608,731,262,0.0923998429510411,8,"No",1974,"January"
"62",100,1503,665,299,0.108161478199019,6,"No",1974,"February"
"63",103,1548,724,303,0.10721168869023,8,"No",1974,"March"
"64",103,1382,744,401,0.114042966782082,14,"No",1974,"April"
"65",121,1731,910,413,0.112454115810183,12,"No",1974,"May"
"66",134,1798,883,426,0.111316253290611,14,"No",1974,"June"
"67",133,1779,900,516,0.11030125221242,13,"No",1974,"July"
"68",129,1887,1057,600,0.108197177376865,9,"No",1974,"August"
"69",144,2004,1076,459,0.107027443082328,4,"No",1974,"September"
"70",154,2077,919,443,0.104946980916917,13,"No",1974,"October"
"71",156,2092,920,412,0.119357749193208,6,"No",1974,"November"
"72",163,2051,953,400,0.117621904277373,15,"No",1974,"December"
"73",122,1577,664,278,0.133027420877451,12,"No",1975,"January"
"74",92,1356,607,302,0.130845243689729,16,"No",1975,"February"
"75",117,1652,777,381,0.128318477474772,7,"No",1975,"March"
"76",95,1382,633,279,0.123547448292297,12,"No",1975,"April"
"77",96,1519,791,442,0.118586811514179,10,"No",1975,"May"
"78",108,1421,790,409,0.116337480161004,9,"No",1975,"June"
"79",108,1442,803,416,0.11516147558196,9,"No",1975,"July"
"80",106,1543,884,511,0.114501197216867,6,"No",1975,"August"
"81",140,1656,769,393,0.113522979499817,7,"No",1975,"September"
"82",114,1561,732,345,0.111930179432996,13,"No",1975,"October"
"83",158,1905,859,391,0.110610528503361,14,"No",1975,"November"
"84",161,2199,994,470,0.11527438914664,13,"No",1975,"December"
"85",102,1473,704,266,0.113793485966034,14,"No",1976,"January"
"86",127,1655,684,312,0.112349582098189,11,"No",1976,"February"
"87",125,1407,671,300,0.111753469387189,11,"No",1976,"March"
"88",101,1395,643,373,0.109642522576533,10,"No",1976,"April"
"89",97,1530,771,412,0.10844089510559,4,"No",1976,"May"
"90",112,1309,644,322,0.107884938936114,8,"No",1976,"June"
"91",112,1526,828,458,0.109084769191454,9,"No",1976,"July"
"92",113,1327,748,427,0.107571450111271,10,"No",1976,"August"
"93",108,1627,767,346,0.106164022368002,10,"No",1976,"September"
"94",128,1748,825,421,0.106299999323319,5,"No",1976,"October"
"95",154,1958,810,344,0.104825313000088,13,"No",1976,"November"
"96",162,2274,986,370,0.103451745711815,12,"No",1976,"December"
"97",112,1648,714,291,0.101449920129493,10,"No",1977,"January"
"98",79,1401,567,224,0.100402316427863,9,"No",1977,"February"
"99",82,1411,616,266,0.098862033680192,7,"No",1977,"March"
"100",127,1403,678,338,0.102496154313521,5,"No",1977,"April"
"101",108,1394,742,298,0.103027431599736,10,"No",1977,"May"
"102",110,1520,840,386,0.102178908220655,5,"No",1977,"June"
