FIPS,County,RUC_Code,PercentTotal,PercentChildren
48001,Anderson,7,18.8,23.4
48003,Andrews,6,13,17.5
48005,Angelina,5,20,25.4
48007,Aransas,2,18.1,32.2
48009,Archer,3,10.1,13.8
48011,Armstrong,2,10.6,15.1
48013,Atascosa,1,16.9,25.4
48015,Austin,1,10.7,16.4
48017,Bailey,7,17.2,26.3
48019,Bandera,1,11.9,22.6
48021,Bastrop,1,11.5,18.7
48023,Baylor,8,17.7,27.6
48025,Bee,6,26.6,33.7
48027,Bell,2,13.8,20.5
48029,Bexar,1,15.6,22.2
48031,Blanco,8,10.6,17.1
48033,Borden,8,11,15.8
48035,Bosque,6,16,26.2
48037,Bowie,3,15.9,23
48039,Brazoria,1,9,11.9
48041,Brazos,3,23.9,20.5
48043,Brewster,7,14,20.7
48045,Briscoe,9,15.3,26
48047,Brooks,7,35,52.5
48049,Brown,5,16.8,24.8
48051,Burleson,3,16.6,25.4
48053,Burnet,6,10.4,17.7
48055,Caldwell,1,14.5,21.3
48057,Calhoun,6,16.3,24.2
48059,Callahan,3,14,23.3
48061,Cameron,2,27.7,38.4
48063,Camp,6,20.3,31.3
48065,Carson,2,8.5,11.3
48067,Cass,6,19,29.5
48069,Castro,6,17.2,25.1
48071,Chambers,1,9.5,12.9
48073,Cherokee,6,17.2,25.2
48075,Childress,7,20.3,26.7
48077,Clay,3,11.8,17.3
48079,Cochran,9,24.8,38.3
48081,Coke,8,13.3,21.2
48083,Coleman,6,25.2,41.2
48085,Collin,1,5.9,6.2
48087,Collingsworth,9,18,28.1
48089,Colorado,6,14.9,23
48091,Comal,1,8.9,13.1
48093,Comanche,7,15,25.1
48095,Concho,8,15.4,28.2
48097,Cooke,6,13,20.6
48099,Coryell,2,13.6,19
48101,Cottle,9,21.2,39.4
48103,Crane,6,11.7,16.4
48105,Crockett,7,16.8,26.3
48107,Crosby,2,22.3,37.8
48109,Culberson,9,22.1,35.6
48111,Dallam,7,11.5,16.3
48113,Dallas,1,14.8,22.1
48115,Dawson,7,21.7,30.7
48117,Deaf Smith,6,17.7,26.7
48119,Delta,8,17.5,27.7
48121,Denton,1,7.1,7.8
48123,DeWitt,6,18.8,27.4
48125,Dickens,8,21.2,28.8
48127,Dimmit,6,31.2,42.6
48129,Donley,8,19.9,32.8
48131,Duval,7,28.6,40.1
48133,Eastland,6,16.8,29
48135,Ector,3,13.5,17.9
48137,Edwards,9,22.6,38.2
48139,Ellis,1,8.5,12.4
48141,El Paso,2,21,29.6
48143,Erath,4,15.8,19.3
48145,Falls,2,27.6,32.9
48147,Fannin,6,12.9,18
48149,Fayette,6,10.8,16.7
48151,Fisher,8,14.7,21
48153,Floyd,6,20.2,34
48155,Foard,9,18,30.7
48157,Fort Bend,1,8,10.2
48159,Franklin,7,14.8,24.2
48161,Freestone,7,16.1,21.4
48163,Frio,6,27.9,34.7
48165,Gaines,7,15,22
48167,Galveston,1,12,16.9
48169,Garza,6,25.3,26.5
48171,Gillespie,7,10.9,17.6
48173,Glasscock,8,9.4,11.5
48175,Goliad,3,15.2,24.7
48177,Gonzales,6,16.7,26.2
48179,Gray,6,17,24
48181,Grayson,3,13.4,19.2
48183,Gregg,3,16.5,23.6
48185,Grimes,6,18,25.7
48187,Guadalupe,1,9.3,12
48189,Hale,4,19.9,27.7
48191,Hall,9,24,41.4
48193,Hamilton,6,16.1,25.8
48195,Hansford,7,11.9,17.1
48197,Hardeman,9,18,29
48199,Hardin,2,12.7,16.7
48201,Harris,1,15.9,23.2
48203,Harrison,4,17.3,22.7
48205,Hartley,7,8.9,9.4
48207,Haskell,6,20.6,32.8
48209,Hays,1,12.2,11.8
48211,Hemphill,7,10,15.5
48213,Henderson,4,17.2,26.2
48215,Hidalgo,2,29.5,41.3
48217,Hill,6,14.9,22.2
48219,Hockley,6,16.2,23.3
48221,Hood,1,10.6,17.2
48223,Hopkins,6,13.7,21.1
