"","Stabr","area_name","Unemployed_2019","Employed_2019","Civilian_labor_force_2019","Unemployed_2018","Employed_2018","Civilian_labor_force_2018","Unemployed_2017","Employed_2017","Civilian_labor_force_2017","Unemployed_2016","Employed_2016","Civilian_labor_force_2016"
"1","AL","Autauga County, AL",714,25458,26172,935,25261,26196,1013,25062,26075,1322,"24,709","26,031"
"2","AL","Baldwin County, AL",2653,94675,97328,3424,91809,95233,3745,88711,92456,4835,"86,060","90,895"
"3","AL","Barbour County, AL",324,8213,8537,427,7987,8414,486,7863,8349,700,"7,736","8,436"
"4","AL","Bibb County, AL",266,8419,8685,337,8268,8605,375,8208,8583,556,"8,088","8,644"
"5","AL","Blount County, AL",676,24655,25331,868,24201,25069,998,23824,24822,1326,"23,358","24,684"
"6","AL","Bullock County, AL",175,4643,4818,220,4571,4791,238,4614,4852,330,"4,514","4,844"
"7","AL","Butler County, AL",338,8925,9263,420,8553,8973,494,8481,8975,636,"8,593","9,229"
"8","AL","Calhoun County, AL",1635,44574,46209,2116,44191,46307,2271,43679,45950,2997,"43,016","46,013"
"9","AL","Chambers County, AL",462,15286,15748,591,14775,15366,621,14639,15260,818,"14,225","15,043"
"10","AL","Cherokee County, AL",338,11266,11604,412,11276,11688,463,10922,11385,574,"10,808","11,382"
"11","AL","Chilton County, AL",538,19280,19818,700,18924,19624,786,18547,19333,1053,"18,213","19,266"
"12","AL","Choctaw County, AL",218,4452,4670,256,4493,4749,279,4145,4424,368,"3,976","4,344"
"13","AL","Clarke County, AL",436,7121,7557,563,7096,7659,658,7107,7765,864,"7,121","7,985"
"14","AL","Clay County, AL",183,5918,6101,226,5784,6010,252,5567,5819,334,"5,314","5,648"
"15","AL","Cleburne County, AL",183,5623,5806,243,5552,5795,258,5489,5747,346,"5,464","5,810"
"16","AL","Coffee County, AL",623,20779,21402,814,20193,21007,920,20049,20969,1210,"19,474","20,684"
"17","AL","Colbert County, AL",885,22761,23646,1063,22478,23541,1213,22130,23343,1630,"21,918","23,548"
"18","AL","Conecuh County, AL",180,4353,4533,231,4281,4512,275,4230,4505,383,"4,184","4,567"
"19","AL","Coosa County, AL",135,4414,4549,180,4246,4426,205,4191,4396,262,"4,137","4,399"
"20","AL","Covington County, AL",534,15119,15653,707,14945,15652,821,14958,15779,1047,"14,509","15,556"
"21","AL","Crenshaw County, AL",183,6293,6476,255,6114,6369,291,6138,6429,379,"6,101","6,480"
"22","AL","Cullman County, AL",998,37648,38646,1234,36879,38113,1420,36556,37976,1885,"36,179","38,064"
"23","AL","Dale County, AL",642,20082,20724,833,19424,20257,894,19120,20014,1155,"18,888","20,043"
"24","AL","Dallas County, AL",807,13904,14711,953,13927,14880,1128,13956,15084,1421,"14,059","15,480"
"25","AL","DeKalb County, AL",870,30182,31052,1136,29153,30289,1331,28357,29688,1773,"27,582","29,355"
"26","AL","Elmore County, AL",979,36586,37565,1277,36313,37590,1376,35990,37366,1771,"35,613","37,384"
"27","AL","Escambia County, AL",514,14248,14762,643,13780,14423,722,13779,14501,967,"13,646","14,613"
"28","AL","Etowah County, AL",1428,41295,42723,1750,41502,43252,1982,41251,43233,2559,"40,892","43,451"
"29","AL","Fayette County, AL",207,6372,6579,262,6267,6529,310,6269,6579,445,"6,178","6,623"
"30","AL","Franklin County, AL",405,14291,14696,523,13768,14291,599,13430,14029,816,"13,108","13,924"
"31","AL","Geneva County, AL",320,10725,11045,422,10450,10872,470,10356,10826,627,"10,226","10,853"
"32","AL","Greene County, AL",161,2722,2883,188,2672,2860,216,2645,2861,286,"2,598","2,884"
"33","AL","Hale County, AL",241,5878,6119,299,5680,5979,354,5614,5968,458,"5,548","6,006"
"34","AL","Henry County, AL",247,6697,6944,299,6531,6830,328,6411,6739,438,"6,311","6,749"
"35","AL","Houston County, AL",1390,44844,46234,1816,43764,45580,1959,42923,44882,2579,"42,156","44,735"
