"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2019,1,"NK","Spirit Air Lines","BDL","Hartford, CT: Bradley International",168.00,19.00,6.37,1.00,5.77,0.59,5.27,1.00,0.00,1655.00,699.00,55.00,157.00,16.00,728.00,
2019,1,"OH","PSA Airlines Inc.","BDL","Hartford, CT: Bradley International",184.00,32.00,11.88,0.37,6.97,0.00,12.78,15.00,2.00,1759.00,734.00,23.00,271.00,0.00,731.00,
2019,1,"OO","SkyWest Airlines Inc.","BDL","Hartford, CT: Bradley International",44.00,8.00,1.82,1.34,1.56,1.00,2.28,1.00,0.00,329.00,69.00,41.00,45.00,43.00,131.00,
2019,1,"UA","United Air Lines Inc.","BDL","Hartford, CT: Bradley International",118.00,25.00,7.94,4.36,6.09,0.00,6.61,6.00,0.00,1785.00,312.00,293.00,147.00,0.00,1033.00,
2019,1,"WN","Southwest Airlines Co.","BDL","Hartford, CT: Bradley International",490.00,80.00,31.16,0.70,15.23,1.57,31.35,33.00,2.00,3824.00,1637.00,45.00,488.00,42.00,1612.00,
2019,1,"YV","Mesa Airlines Inc.","BDL","Hartford, CT: Bradley International",115.00,19.00,9.00,0.00,7.00,0.00,3.00,8.00,0.00,1529.00,1024.00,0.00,365.00,0.00,140.00,
2019,1,"YX","Republic Airline","BDL","Hartford, CT: Bradley International",31.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2019,2,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",93.00,8.00,1.10,0.28,2.04,0.00,4.58,3.00,0.00,487.00,30.00,19.00,127.00,0.00,311.00,
2019,2,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",382.00,77.00,32.86,1.59,8.28,0.00,34.27,10.00,0.00,4423.00,1970.00,68.00,306.00,0.00,2079.00,
2019,2,"B6","JetBlue Airways","BDL","Hartford, CT: Bradley International",334.00,93.00,46.48,0.00,6.38,0.00,40.15,8.00,0.00,7075.00,3483.00,0.00,315.00,0.00,3277.00,
2019,2,"DL","Delta Air Lines Inc.","BDL","Hartford, CT: Bradley International",299.00,41.00,18.83,4.20,8.41,0.00,9.56,0.00,1.00,2896.00,1847.00,236.00,236.00,0.00,577.00,
2019,2,"MQ","Envoy Air","BDL","Hartford, CT: Bradley International",39.00,9.00,1.10,0.12,3.58,1.00,3.20,1.00,0.00,313.00,18.00,8.00,135.00,26.00,126.00,
2019,2,"NK","Spirit Air Lines","BDL","Hartford, CT: Bradley International",150.00,21.00,7.12,0.00,6.30,0.00,7.58,1.00,0.00,2748.00,1349.00,0.00,473.00,0.00,926.00,
2019,2,"OH","PSA Airlines Inc.","BDL","Hartford, CT: Bradley International",196.00,49.00,16.76,2.15,5.56,0.00,24.53,15.00,0.00,3734.00,1177.00,268.00,332.00,0.00,1957.00,
2019,2,"OO","SkyWest Airlines Inc.","BDL","Hartford, CT: Bradley International",45.00,16.00,4.47,1.39,3.14,0.00,7.00,3.00,0.00,1435.00,272.00,186.00,135.00,0.00,842.00,
2019,2,"UA","United Air Lines Inc.","BDL","Hartford, CT: Bradley International",128.00,22.00,5.51,1.94,8.77,0.00,5.78,0.00,0.00,1516.00,266.00,441.00,261.00,0.00,548.00,
2019,2,"WN","Southwest Airlines Co.","BDL","Hartford, CT: Bradley International",427.00,73.00,37.98,1.85,5.50,0.99,26.69,27.00,1.00,4439.00,1948.00,210.00,279.00,220.00,1782.00,
2019,2,"YV","Mesa Airlines Inc.","BDL","Hartford, CT: Bradley International",68.00,9.00,2.00,0.00,4.00,0.00,3.00,0.00,0.00,511.00,201.00,0.00,101.00,0.00,209.00,
2019,2,"YX","Republic Airline","BDL","Hartford, CT: Bradley International",32.00,3.00,0.18,0.15,0.92,0.00,1.75,2.00,0.00,221.00,6.00,10.00,64.00,0.00,141.00,
2019,3,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",153.00,15.00,5.08,1.00,0.33,0.00,8.59,0.00,0.00,858.00,343.00,58.00,8.00,0.00,449.00,
2019,3,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",400.00,62.00,23.07,0.00,11.88,0.00,27.04,19.00,0.00,2753.00,1048.00,0.00,342.00,0.00,1363.00,
2019,3,"B6","JetBlue Airways","BDL","Hartford, CT: Bradley International",372.00,95.00,40.54,0.90,13.05,0.00,40.51,8.00,1.00,7380.00,3268.00,66.00,513.00,0.00,3533.00,
2019,3,"DL","Delta Air Lines Inc.","BDL","Hartford, CT: Bradley International",348.00,31.00,17.47,0.68,5.40,0.00,7.46,0.00,0.00,1891.00,1368.00,21.00,223.00,0.00,279.00,
2019,3,"F9","Frontier Airlines Inc.","BDL","Hartford, CT: Bradley International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2019,3,"MQ","Envoy Air","BDL","Hartford, CT: Bradley International",57.00,4.00,1.05,0.00,2.10,0.00,0.85,0.00,0.00,221.00,37.00,0.00,68.00,0.00,116.00,
2019,3,"NK","Spirit Air Lines","BDL","Hartford, CT: Bradley International",196.00,30.00,12.77,0.00,8.33,0.26,8.64,1.00,0.00,2492.00,904.00,0.00,744.00,22.00,822.00,
2019,3,"OH","PSA Airlines Inc.","BDL","Hartford, CT: Bradley International",238.00,42.00,13.64,1.00,4.45,0.00,22.91,1.00,0.00,2957.00,946.00,66.00,163.00,0.00,1782.00,
2019,3,"OO","SkyWest Airlines Inc.","BDL","Hartford, CT: Bradley International",24.00,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,73.00,53.00,0.00,20.00,0.00,0.00,
2019,3,"UA","United Air Lines Inc.","BDL","Hartford, CT: Bradley International",146.00,21.00,5.76,1.04,3.18,0.00,11.03,1.00,0.00,1844.00,469.00,106.00,183.00,0.00,1086.00,
2019,3,"WN","Southwest Airlines Co.","BDL","Hartford, CT: Bradley International",549.00,105.00,42.77,2.45,12.37,0.00,47.41,12.00,0.00,5056.00,1785.00,70.00,361.00,0.00,2840.00,
2019,3,"YV","Mesa Airlines Inc.","BDL","Hartford, CT: Bradley International",67.00,8.00,5.00,0.00,3.00,0.00,0.00,0.00,0.00,500.00,315.00,0.00,185.00,0.00,0.00,
2019,3,"YX","Republic Airline","BDL","Hartford, CT: Bradley International",41.00,3.00,1.00,0.00,1.12,0.00,0.88,0.00,0.00,149.00,15.00,0.00,34.00,0.00,100.00,
2019,4,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",134.00,20.00,4.33,0.76,3.40,0.00,11.52,3.00,0.00,1490.00,484.00,44.00,137.00,0.00,825.00,
2019,4,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",364.00,74.00,26.34,4.30,12.67,0.00,30.69,12.00,0.00,4794.00,1414.00,374.00,680.00,0.00,2326.00,
2019,4,"B6","JetBlue Airways","BDL","Hartford, CT: Bradley International",360.00,100.00,41.60,1.65,17.09,0.00,39.66,1.00,2.00,8636.00,3140.00,230.00,1075.00,0.00,4191.00,
2019,4,"DL","Delta Air Lines Inc.","BDL","Hartford, CT: Bradley International",364.00,47.00,29.83,0.88,7.30,0.00,8.99,1.00,0.00,3560.00,2707.00,60.00,247.00,0.00,546.00,
2019,4,"F9","Frontier Airlines Inc.","BDL","Hartford, CT: Bradley International",15.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,45.00,45.00,0.00,0.00,0.00,0.00,
2019,4,"MQ","Envoy Air","BDL","Hartford, CT: Bradley International",55.00,5.00,1.00,2.00,2.00,0.00,0.00,1.00,0.00,141.00,20.00,79.00,42.00,0.00,0.00,
2019,4,"NK","Spirit Air Lines","BDL","Hartford, CT: Bradley International",208.00,25.00,11.76,0.63,7.16,0.00,5.45,8.00,0.00,1452.00,629.00,12.00,409.00,0.00,402.00,
2019,4,"OH","PSA Airlines Inc.","BDL","Hartford, CT: Bradley International",173.00,44.00,12.93,2.14,6.09,0.00,22.85,3.00,0.00,2601.00,752.00,91.00,243.00,0.00,1515.00,
2019,4,"OO","SkyWest Airlines Inc.","BDL","Hartford, CT: Bradley International",28.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,140.00,77.00,63.00,0.00,0.00,0.00,
2019,4,"UA","United Air Lines Inc.","BDL","Hartford, CT: Bradley International",206.00,40.00,9.24,0.52,10.40,0.00,19.84,3.00,0.00,2567.00,629.00,33.00,378.00,0.00,1527.00,
2019,4,"WN","Southwest Airlines Co.","BDL","Hartford, CT: Bradley International",594.00,106.00,49.90,1.17,7.17,1.07,46.69,12.00,0.00,6817.00,2979.00,273.00,695.00,90.00,2780.00,
2019,4,"YV","Mesa Airlines Inc.","BDL","Hartford, CT: Bradley International",36.00,9.00,1.00,1.00,0.00,0.00,7.00,0.00,0.00,698.00,161.00,107.00,0.00,0.00,430.00,
2019,4,"YX","Republic Airline","BDL","Hartford, CT: Bradley International",59.00,3.00,1.21,0.00,0.28,0.00,1.51,1.00,0.00,76.00,31.00,0.00,6.00,0.00,39.00,
2019,5,"F9","Frontier Airlines Inc.","BDL","Hartford, CT: Bradley International",39.00,14.00,7.09,1.00,2.96,0.00,2.95,0.00,0.00,733.00,449.00,19.00,145.00,0.00,120.00,
2019,5,"MQ","Envoy Air","BDL","Hartford, CT: Bradley International",86.00,12.00,3.25,1.16,1.15,0.00,6.44,1.00,0.00,619.00,137.00,30.00,59.00,0.00,393.00,
2019,5,"NK","Spirit Air Lines","BDL","Hartford, CT: Bradley International",134.00,22.00,8.33,1.39,7.96,0.04,4.27,1.00,1.00,1724.00,806.00,243.00,549.00,1.00,125.00,
2019,5,"OH","PSA Airlines Inc.","BDL","Hartford, CT: Bradley International",130.00,29.00,9.73,0.44,5.89,0.00,12.94,5.00,0.00,1992.00,296.00,82.00,244.00,0.00,1370.00,
2019,5,"YX","Republic Airline","BDL","Hartford, CT: Bradley International",67.00,5.00,1.29,0.00,2.08,0.00,1.63,1.00,0.00,216.00,60.00,0.00,40.00,0.00,116.00,
2019,5,"OO","SkyWest Airlines Inc.","BDL","Hartford, CT: Bradley International",23.00,1.00,0.71,0.00,0.29,0.00,0.00,0.00,0.00,31.00,22.00,0.00,9.00,0.00,0.00,
2019,5,"UA","United Air Lines Inc.","BDL","Hartford, CT: Bradley International",201.00,37.00,5.68,5.05,6.45,0.00,19.82,0.00,1.00,2947.00,438.00,596.00,284.00,0.00,1629.00,
2019,5,"WN","Southwest Airlines Co.","BDL","Hartford, CT: Bradley International",620.00,133.00,53.91,6.71,16.05,0.00,56.33,14.00,0.00,8385.00,3046.00,469.00,726.00,0.00,4144.00,
2019,5,"YV","Mesa Airlines Inc.","BDL","Hartford, CT: Bradley International",72.00,19.00,12.00,1.00,1.00,0.00,5.00,2.00,0.00,1985.00,1068.00,134.00,66.00,0.00,717.00,
2019,5,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",135.00,18.00,6.49,0.35,2.57,0.00,8.59,0.00,0.00,1477.00,499.00,30.00,116.00,0.00,832.00,
2019,5,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",416.00,117.00,42.32,3.49,17.62,0.59,52.98,11.00,0.00,8033.00,3395.00,290.00,683.00,10.00,3655.00,
2019,5,"B6","JetBlue Airways","BDL","Hartford, CT: Bradley International",301.00,81.00,25.06,4.56,17.09,0.00,34.28,0.00,0.00,5682.00,2103.00,225.00,652.00,0.00,2702.00,
2019,5,"DL","Delta Air Lines Inc.","BDL","Hartford, CT: Bradley International",370.00,36.00,18.76,1.00,6.13,0.00,10.11,0.00,1.00,1582.00,882.00,50.00,204.00,0.00,446.00,
