"","timestamp","consent","current_job","essential_industry","wfh_before_covid_opt","commute_miles","commute_leave_time","wfh_bc","instore_groc_bc","online_groc_bc","instore_other_bc","online_other_bc","restaurant_bc","online_food_bc","drive_alone_bc","carpool_bc","transit_bc","ferry_bc","solorh_taxi_bc","sharedrh_bc","bike_scooter_bc","shared_bike_scooter_bc","walk_bc","mode_work_school_bc","mode_groc_bc","mode_other_shop_bc","mode_errands_bc","mode_social_bc","wfh_dr","instore_groc_dr","online_groc_dr","instore_other_dr","online_other_dr","restaurant_dr","online_food_dr","drive_alone_dr","carpool_dr","transit_dr","ferry_dr","solorh_taxi_dr","sharedrh_dr","bike_scooter_dr","shared_bike_scooter_dr","walk_dr","mode_work_school_dr","mode_groc_dr","mode_OTHER_SHOP_dr","mode_ERRANDS_dr","mode_social_dr","instore_groc_change","wfh_change_reason","work_hours_change_reason","work_mode_change_reason","online_groc_change_reason","instore_groc_change_reason","other_shop_change_reason","mode_nonwork_change_reason","work_hours_start_change","work_hours_stop_change","media_exag","face_cover_mandatory","business_shut_down","stay_home","physical_dist","ff_health","ff_stay_home","wfh_family","miss_commute","online_meeting","coworker_interact","social_interact","wfh_discipline","crowded_bus","transit_health","rideshare_stranger","avoid_share","save_money","transit_physical_distance","personal_space","online_shop_conv","physical_purchase","instore_groc_fun","online_groc_pref","store_enjoy","restaurant_fun","wfh_ac","instore_groc_ac","online_groc_ac","instore_other_ac","online_other_ac","restaurant_ac","online_food_ac","drive_alone_ac","carpool_ac","transit_ac","ferry_ac","solorh_taxi_ac","shareach_ac","bike_scooter_ac","shared_bike_scooter_ac","walk_ac","gender","age","race","living_situation","hh_income","edu","living_space","ZIP_code","COVID"
"1","2020/06/26 10:45:06 PM MDT","Agree","Student","No, none of the above",NA,"25","5:55","Never","1-2 days a week","Never","A few times a month","Once a month or less","1-2 days a week","1-2 days a week","3-4 days a week","1-2 days a week","Once a month or less","Never","Once a month or less","Never","3-4 days a week","Once a month or less","Once a month or less","Drive Alone","Carpool","Drive Alone","Drive Alone","Bike or Scooter","1-2 days a week","1-2 days a week","A few times a month","A few times a month","A few times a month","Never","A few times a month","1-2 days a week","3-4 days a week","Never","Never","Never","Never","Never","Never","1-2 days a week","N/A","Carpool","Carpool","Drive Alone","N/A","We used to buy items as I ran out of them, but now we make one big trip.","Employer's policies","Employer's policies","Other","I did this voluntarily","I did this voluntarily","I did this voluntarily","There has been no change","N/A (I don't have a regular work routine)","N/A (I don't have a regular work routine)","Strongly disagree","Strongly agree","Disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Disagree","Agree","Somewhat agree","A few times a month","1-2 days a week","Never","1-2 days a week","A few times a month","A few times a month","A few times a month","3-4 days a week","3-4 days a week","Once a month or less","Never","Once a month or less","Never","3-4 days a week","Once a month or less","A few times a month","Female","21","White","Cat or Dog;Non-household members (e.g. relatives, roommates)","$100,000 to $149,999","Some college/technical school training","I live in a house.;I have a a patio.;I have a yard.;The number of rooms in my place equals or is greater than the number of people 6+ years of old living here.","98058","I don't believe so, but I haven't been tested for it."
"2","2020/06/26 11:02:31 PM MDT","Agree","Employed, Full time","No, none of the above",NA,"35","7:15","Never","1-2 days a week","Never","A few times a month","A few times a month","A few times a month","Once a month or less","Everyday","Never","Never","Never","Never","Never","Never","Never","Never","Drive Alone","Drive Alone","Drive Alone","Drive Alone","Drive Alone","Everyday","A few times a month","Never","Never","A few times a month","Never","Once a month or less","1-2 days a week","Never","Never","Never","Never","Never","A few times a month","Never","A few times a month","N/A","Walk","N/A","Drive Alone","Drive Alone","We used to do grocery shopping only on weekends, but now we do it on weekdays.","Government mandate","There has been no change","There has been no change","Other","I did this voluntarily","I did this voluntarily","I did this voluntarily","about the same time as before","later than before","Strongly disagree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Disagree","Agree","Disagree","Agree","Disagree","Somewhat disagree","Strongly agree","Agree","Agree","Agree","Somewhat disagree","Somewhat disagree","Disagree","Never","1-2 days a week","Never","A few times a month","Once a month or less","1-2 days a week","A few times a month","Everyday","1-2 days a week","Never","Never","Never","Never","Never","Never","Never","Female","59","White","Husband/wife/partner","$100,000 to $149,999","Graduate degree (e.g. MS, PhD, MBA)","I live in a house.;I have a a patio.;I have a yard.;The number of rooms in my place equals or is greater than the number of people 6+ years of old living here.","98203","I don't believe so, but I haven't been tested for it."
"3","2020/06/26 11:36:51 PM MDT","Agree","Employed, Full time","No, none of the above",NA,"18","7:00","Never","1-2 days a week","Never","A few times a month","A few times a month","1-2 days a week","Never","Everyday","1-2 days a week","Never","Never","Never","Never","Never","Never","Never","Drive Alone","Carpool","Carpool","Carpool","Carpool","Everyday","Once a month or less","Once a month or less","1-2 days a week","A few times a month","Never","1-2 days a week","1-2 days a week","1-2 days a week","Never","Never","Never","Never","Never","Never","Everyday","N/A","Carpool","Carpool","Carpool","Carpool","My husband shops alone now, my family does not go and expose ourselves","Government mandate","Employer's policies","There has been no change","Government recommendation","Government recommendation","I did this voluntarily","There has been no change","later than before","about the same time as before","Somewhat agree","Agree","Somewhat disagree","Agree","Agree","Agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Agree","Agree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Disagree","Agree","Somewhat agree","Strongly agree","Agree","Somewhat disagree","Agree","Agree","Never","1-2 days a week","A few times a month","1-2 days a week","A few times a month","1-2 days a week","A few times a month","Everyday","3-4 days a week","Never","Never","Never","Never","Never","Never","Never","Female","31","White","Husband/wife/partner;Children aged 3-5","$100,000 to $149,999","Graduate degree (e.g. MS, PhD, MBA)","I live in a house.","98422","I don't believe so, but I haven't been tested for it."
"4","2020/06/26 11:48:21 PM MDT","Agree","Employed, Full time","No, none of the above",NA,"3","6:30","Never","3-4 days a week","Never","3-4 days a week","A few times a month","1-2 days a week","Once a month or less","Never","1-2 days a week","Everyday","Never","A few times a month","Never","Never","Never","Everyday","Public Transit (Bus, Light Rail, Streetcar)","Public Transit (Bus, Light Rail, Streetcar)","Public Transit (Bus, Light Rail, Streetcar)","Public Transit (Bus, Light Rail, Streetcar)","Public Transit (Bus, Light Rail, Streetcar)","Everyday","1-2 days a week","Never","Never","A few times a month","Never","1-2 days a week","Never","3-4 days a week","Never","Never","Never","Never","Never","Never","Everyday","N/A","Carpool","N/A","Carpool","Carpool","We used to make one big trip on the weekend and several smaller trips throughout the week, but now we only shop on the weekends unless we really need something ","Employer's policies","There has been no change","Employer's policies","There has been no change","I did this voluntarily","I did this voluntarily","I did this voluntarily","about the same time as before","about the same time as before","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Agree","Agree","Once a month or less","3-4 days a week","Never","A few times a month","A few times a month","1-2 days a week","A few times a month","Never","1-2 days a week","Everyday","Never","A few times a month","Never","Never","Never","Everyday","Female","29","White","Non-household members (e.g. relatives, roommates)","$100,000 to $149,999","Graduate degree (e.g. MS, PhD, MBA)","I live in an apartment.;The number of rooms in my place equals or is greater than the number of people 6+ years of old living here.","98103","I don't believe so, but I haven't been tested for it."
"5","2020/06/27 12:20:40 AM MDT","Agree","Student","Delivery or Postal Service",NA,"8","6:45","Never","A few times a month","Never","A few times a month","Once a month or less","A few times a month","Once a month or less","Everyday","Once a month or less","Once a month or less","Never","Never","Never","Never","Never","Everyday","Drive Alone","Drive Alone","Drive Alone","Drive Alone","Carpool","3-4 days a week","Never","A few times a month","Never","Once a month or less","Never","A few times a month","A few times a month","Never","Never","Never","Never","Never","Never","Never","Everyday","N/A","Drive Alone","Drive Alone","Drive Alone","Drive Alone","We used to go to multiple stores, but now we only go to one store.;We used to buy items as I ran out of them, but now we make one big trip.","Government mandate","Government mandate","I did this voluntarily","I did this voluntarily","Government recommendation","I did this voluntarily","Government recommendation","later than before","earlier than before","Somewhat disagree","Agree","Somewhat disagree","Agree","Strongly agree","Agree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Disagree","Agree","Disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Agree","Agree","Somewhat disagree","Agree","Disagree","Disagree","Never","A few times a month","Once a month or less","A few times a month","Once a month or less","Once a month or less","Once a month or less","Never","Once a month or less","3-4 days a week","Never","A few times a month","A few times a month","Once a month or less","Never","Everyday","Female","18","Asian",NA,"$200,000 or more",NA,"I live in a house.;I have a yard.;The number of rooms in my place equals or is greater than the number of people 6+ years of old living here.","98052","I believe so, but I haven't been tested for it."
"6","2020/06/27 12:43:53 AM MDT","Agree","Unemployed","No, none of the above",NA,"2","8:30","Never","1-2 days a week","Never","A few times a month","Never","1-2 days a week","Once a month or less","Everyday","Never","Never","Once a month or less","Once a month or less","Never","Never","Never","Once a month or less","Drive Alone","Drive Alone","Drive Alone","Drive Alone","Drive Alone","Never","Never","A few times a month","Never","A few times a month","Never","A few times a month","3-4 days a week","Never","Never","Never","Never","Never","Never","Never","A few times a month","N/A","Drive Alone","Drive Alone","Drive Alone","Drive Alone","We used to go to multiple stores, but now we only go to one store.;We used to buy items as I ran out of them, but now we make one big trip.;We don't do any in-store grocery shopping.","Other","Government mandate","There has been no change","I did this voluntarily","I did this voluntarily","I did this voluntarily","There has been no change","N/A (I don't have a regular work routine)","N/A (I don't have a regular work routine)","Disagree","Strongly agree","Somewhat disagree","Agree","Strongly agree","Agree","Somewhat agree","Somewhat disagree","Somewhat agree","Disagree","Strongly agree","Agree","Somewhat agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Never","A few times a month","Never","1-2 days a week","Once a month or less","1-2 days a week","Once a month or less","Everyday","A few times a month","Never","Once a month or less","Once a month or less","Never","Never","Never","Once a month or less","Female","38","White","Husband/wife/partner;Children aged 6-11","$100,000 to $149,999","4-year college degree (e.g. BA, BS)","I live in a house.","98258","I don't believe so, but I haven't been tested for it."
"7","2020/06/27 4:22:15 AM MDT","Agree","Student","No, none of the above",NA,"1","10:00","Never","A few times a month","Never","Once a month or less","A few times a month","1-2 days a week","Never","A few times a month","A few times a month","1-2 days a week","Never","Never","Once a month or less","Everyday","Never","1-2 days a week","Bike or Scooter","Walk","Bike or Scooter","Bike or Scooter","Carpool","Everyday","A few times a month","Once a month or less","Never","Once a month or less","Never","A few times a month","1-2 days a week","1-2 days a week","Never","Never","Never","Never","1-2 days a week","Never","1-2 days a week","N/A","Walk","N/A","Drive Alone","Carpool","We have not made any changes.","Employer's policies","There has been no change","Employer's policies","I did this voluntarily","There has been no change","I did this voluntarily","I did this voluntarily","later than before","later than before","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Disagree","Agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Disagree","Somewhat agree","Somewhat agree","Agree","Strongly disagree","Disagree","Strongly agree","1-2 days a week","1-2 days a week","Never","A few times a month","A few times a month","1-2 days a week","Once a month or less","1-2 days a week","1-2 days a week","1-2 days a week","Never","Never","Once a month or less","Everyday","Never","3-4 days a week","Male","27","White","Non-household members (e.g. relatives, roommates)","$35,000 to $49,999","Graduate degree (e.g. MS, PhD, MBA)","I live in a house.;The number of rooms in my place equals or is greater than the number of people 6+ years of old living here.","98105","No, I have tested negative."
"8","2020/06/27 6:02:32 AM MDT","Agree","Employed, Full time","No, none of the above",NA,"10","8:15","Never","1-2 days a week","Never","A few times a month","Never","A few times a month","A few times a month","Everyday","A few times a month","Once a month or less","Once a month or less","Once a month or less","Once a month or less","Once a month or less","Never","Once a month or less","Drive Alone","Drive Alone","Drive Alone","Drive Alone","Carpool","Everyday","A few times a month","A few times a month","Once a month or less","A few times a month","Never","1-2 days a week","A few times a month","Never","Never","Never","Never","Never","Never","Never","A few times a month","N/A","Drive Alone","Drive Alone","Drive Alone","N/A","We used to go to multiple stores, but now we only go to one store.;We used to buy items as I ran out of them, but now we make one big trip.","Employer's policies","There has been no change","There has been no change","I did this voluntarily","I did this voluntarily","Government recommendation","I did this voluntarily","about the same time as before","later than before","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat disagree","Disagree","Somewhat agree","Agree","Somewhat agree","Somewhat disagree","Agree","Somewhat disagree","Strongly agree","Somewhat disagree","Agree","Agree","Agree","Disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","A few times a month","1-2 days a week","Never","A few times a month","Never","A few times a month","A few times a month","Everyday","A few times a month","A few times a month","Once a month or less","Once a month or less","Once a month or less","A few times a month","Never","A few times a month","Female","33","White","Cat or Dog;Non-household members (e.g. relatives, roommates)","$50,000 to $74,999","Graduate degree (e.g. MS, PhD, MBA)","I live in an apartment.;I have a a patio.;The number of rooms in my place equals or is greater than the number of people 6+ years of old living here.","98106","No, I have tested negative."
"9","2020/06/27 6:42:26 AM MDT","Agree","Employed, Full time","No, none of the above",NA,"1.25","7:30","Once a month or less","1-2 days a week","A few times a month","3-4 days a week","Once a month or less","1-2 days a week","A few times a month","Never","3-4 days a week","Everyday","Never","1-2 days a week","Once a month or less","Never","Never","Everyday","Public Transit (Bus, Light Rail, Streetcar)","Carpool","Walk","Solo Ridehail (UberX, Lyft) or Taxi","Carpool","Everyday","Never","A few times a month","Once a month or less","A few times a month","Never","1-2 days a week","Never","A few times a month","Once a month or less","Never","Once a month or less","Never","Never","Never","Everyday","N/A","N/A","Walk","Solo Ridehail (UberX, Lyft) or Taxi","N/A","We used to go to multiple stores, but now we only go to one store.;We used to buy items as I ran out of them, but now we make one big trip.;We do less in-store shopping and more delivery","Employer's policies","I did this voluntarily","Employer's policies","I did this voluntarily","I did this voluntarily","Other","Government recommendation","later than before","earlier than before","Disagree","Agree","Disagree","Agree","Agree","Agree","Somewhat agree","Somewhat disagree","Agree","Disagree","Strongly agree","Somewhat agree","Disagree","Disagree","Somewhat agree","Somewhat disagree","Agree","Somewhat disagree","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Agree","A few times a month","1-2 days a week","A few times a month","1-2 days a week","A few times a month","1-2 days a week","1-2 days a week","Once a month or less","A few times a month","Everyday","Never","Once a month or less","A few times a month","Never","Never","Everyday","Female","49","White","Husband/wife/partner;Cat or Dog","$100,000 to $149,999","4-year college degree (e.g. BA, BS)","I live in a house.;I have a a patio.;I have a yard.;The number of rooms in my place equals or is greater than the number of people 6+ years of old living here.","98117","I don't believe so, but I haven't been tested for it."
"10","2020/06/27 7:21:55 AM MDT","Agree","Employed, Full time","Transportation",NA,"3","11:30","3-4 days a week","Everyday","Never","1-2 days a week","Once a month or less","A few times a month","1-2 days a week","Everyday","Never","A few times a month","Never","1-2 days a week","Never","Never","Never","Everyday","Drive Alone","Drive Alone","Drive Alone","Drive Alone","Walk","Everyday","1-2 days a week","Once a month or less","Once a month or less","1-2 days a week","Once a month or less","Once a month or less","1-2 days a week","Never","Never","Never","Once a month or less","Never","Never","Never","Everyday","Walk","Walk","Drive Alone","Drive Alone","Walk","We used to go to multiple stores, but now we only go to one store.","I did this voluntarily","I did this voluntarily","I did this voluntarily","There has been no change","I did this voluntarily","I did this voluntarily","I did this voluntarily","about the same time as before","about the same time as before","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Somewhat disagree","Agree","Disagree","Somewhat agree","Agree","Agree","Somewhat agree","Somewhat agree","Disagree","Disagree","Somewhat agree","3-4 days a week","1-2 days a week","Once a month or less","A few times a month","A few times a month","A few times a month","A few times a month","3-4 days a week","Never","Once a month or less","Once a month or less","1-2 days a week","Never","Once a month or less","Never","Everyday","Male","63","White","Husband/wife/partner","$200,000 or more","Graduate degree (e.g. MS, PhD, MBA)","I live in a house.;I have a a patio.;I have a yard.;The number of rooms in my place equals or is greater than the number of people 6+ years of old living here.","98118","I believe so, but I haven't been tested for it."
