"","State","Event","Start","End","Actor"
"1","Alabama","Stage 1",NA,NA,"."
"2","Alaska","Stage 1",2020-04-10,2020-07-01,"L"
"3","American Samoa","Stage 1",NA,NA,"."
"4","Arizona","Stage 1",NA,NA,"."
"5","Arkansas","Stage 1",NA,NA,"."
"6","California","Stage 1",NA,NA,"."
"7","California","Stage 1",NA,NA,"."
"8","Colorado","Stage 1",2020-04-30,2020-06-14,"G"
"9","Colorado","Stage 1",2020-10-21,2021-01-01,"G"
"10","Connecticut","Stage 1",2020-04-10,2021-03-13,"G"
"11","Delaware","Stage 1",NA,NA,"."
"12","Delaware","Stage 1",NA,NA,"."
"13","Federated States of Micronesia","Stage 1",NA,NA,"."
"14","Florida","Stage 1",NA,NA,"."
"15","Georgia","Stage 1",NA,NA,"."
"16","Guam","Stage 1",NA,NA,"."
"17","Hawaii","Stage 1",2020-04-16,2021-04-14,"G"
"18","Idaho","Stage 1",NA,NA,"."
"19","Illinois","Stage 1",2020-04-23,2021-04-04,"G"
"20","Indiana","Stage 1",2020-03-19,2020-08-15,"G"
"21","Iowa","Stage 1",2020-03-26,2020-05-28,"G"
"22","Kansas","Stage 1",NA,NA,"."
"23","Kansas","Stage 1",NA,NA,"."
"24","Kansas","Stage 1",NA,NA,"."
"25","Kentucky","Stage 1",NA,NA,"."
"26","Louisiana","Stage 1",NA,NA,"."
"27","Maine","Stage 1",NA,NA,"."
"28","Marshall Islands","Stage 1",NA,NA,"."
"29","Maryland","Stage 1",NA,NA,"."
"30","Maryland","Stage 1",NA,NA,"."
"31","Massachusetts","Stage 1",NA,NA,"."
"32","Massachusetts","Stage 1",2020-04-20,2020-10-18,"L"
"33","Massachusetts","Stage 1",NA,NA,"."
"34","Michigan","Stage 1",2020-03-20,2020-07-16,"G"
"35","Minnesota","Stage 1",2020-08-04,2021-03-16,"G"
"36","Mississippi","Stage 1",NA,NA,"."
"37","Missouri","Stage 1",NA,NA,"."
"38","Montana","Stage 1",NA,NA,"."
"39","Nebraska","Stage 1",NA,NA,"."
"40","Nevada","Stage 1",2020-03-30,2020-10-15,"G"
"41","Nevada","Stage 1",2020-12-15,2021-04-01,"G"
"42","New Hampshire","Stage 1",2020-03-17,2020-07-01,"G"
"43","New Jersey","Stage 1",NA,NA,"."
"44","New Mexico","Stage 1",NA,NA,"."
"45","New York","Stage 1",NA,NA,"."
"46","New York","Stage 1",NA,NA,"."
"47","New York","Stage 1",NA,NA,"."
"48","New York","Stage 1",NA,NA,"."
"49","North Carolina","Stage 1",2020-05-30,2020-06-20,"G"
"50","North Carolina","Stage 1",NA,NA,"."
"51","North Dakota","Stage 1",NA,NA,"."
"52","Northern Mariana Islands","Stage 1",NA,NA,"."
"53","Ohio","Stage 1",NA,NA,"."
"54","Oklahoma","Stage 1",NA,NA,"."
"55","Oregon","Stage 1",NA,NA,"."
"56","Oregon","Stage 1",2020-04-01,2020-07-01,"G"
"57","Oregon","Stage 1",2020-10-01,2021-01-01,"G"
"58","Oregon","Stage 1",2020-06-24,2021-07-01,"L"
"59","Palau","Stage 1",NA,NA,"."
"60","Pennsylvania","Stage 1",2020-05-11,2020-09-01,"G"
"61","Puerto Rico","Stage 1",NA,NA,"."
"62","Rhode Island","Stage 1",NA,NA,"."
"63","South Carolina","Stage 1",NA,NA,"."
"64","South Dakota","Stage 1",NA,NA,"."
"65","Tennessee","Stage 1",NA,NA,"."
"66","Texas","Stage 1",NA,NA,"."
"67","U.S. Virgin Islands","Stage 1",NA,NA,"."
"68","Utah","Stage 1",NA,NA,"."
"69","Vermont","Stage 1",NA,NA,"."
"70","Vermont","Stage 1",2020-05-14,2021-03-13,"L"
"71","Virginia","Stage 1",NA,NA,"."
"72","Virginia","Stage 1",NA,NA,"."
"73","Virginia","Stage 1",NA,NA,"."
"74","Washington","Stage 1",2020-03-18,2021-04-01,"G"
"75","District of Columbia","Stage 1",NA,NA,"."
"76","District of Columbia","Stage 1",NA,NA,"."
"77","District of Columbia","Stage 1",NA,NA,"."
"78","West Virginia","Stage 1",NA,NA,"."
"79","Wisconsin","Stage 1",2020-03-27,2020-05-26,"G"
"80","Wyoming","Stage 1",NA,NA,"."
"81","Alabama","Stage 2",NA,NA,"."
"82","Alaska","Stage 2",2020-04-10,2020-07-01,"L"
"83","American Samoa","Stage 2",NA,NA,"."
"84","Arizona","Stage 2",NA,NA,"."
"85","Arkansas","Stage 2",NA,NA,"."
"86","California","Stage 2",2020-10-05,2021-07-01,"L"
"87","California","Stage 2",NA,NA,"."
"88","Colorado","Stage 2",2020-04-30,2020-06-14,"G"
"89","Colorado","Stage 2",2020-10-21,2021-01-01,"G"
"90","Connecticut","Stage 2",2020-04-10,2021-03-13,"G"
"91","Delaware","Stage 2",NA,NA,"."
"92","Delaware","Stage 2",2020-03-24,2020-07-01,"G"
"93","Federated States of Micronesia","Stage 2",NA,NA,"."
"94","Florida","Stage 2",2020-04-02,2020-07-28,"G"
"95","Georgia","Stage 2",NA,NA,"."
"96","Guam","Stage 2",2020-03-28,2021-03-13,"G"
"97","Hawaii","Stage 2",2020-04-16,2021-04-14,"G"
"98","Idaho","Stage 2",NA,NA,"."
"99","Illinois","Stage 2",2020-04-23,2021-04-04,"G"
"100","Indiana","Stage 2",2020-03-19,2020-08-15,"G"
"101","Iowa","Stage 2",2020-03-19,2020-05-28,"G"
"102","Kansas","Stage 2",NA,NA,"."
"103","Kansas","Stage 2",NA,NA,"."
"104","Kansas","Stage 2",NA,NA,"."
"105","Kentucky","Stage 2",2020-04-01,2020-08-01,"C"
"106","Louisiana","Stage 2",NA,NA,"."
"107","Maine","Stage 2",NA,NA,"."
"108","Marshall Islands","Stage 2",NA,NA,"."
"109","Maryland","Stage 2",NA,NA,"."
"110","Maryland","Stage 2",NA,NA,"."
"111","Massachusetts","Stage 2",NA,NA,"."
"112","Massachusetts","Stage 2",2020-04-20,2020-10-18,"L"
"113","Massachusetts","Stage 2",NA,NA,"."
"114","Michigan","Stage 2",NA,NA,"."
"115","Minnesota","Stage 2",2020-03-24,2021-03-16,"G"
"116","Mississippi","Stage 2",NA,NA,"."
"117","Missouri","Stage 2",NA,NA,"."
"118","Montana","Stage 2",2020-03-30,2020-05-25,"G"
"119","Nebraska","Stage 2",NA,NA,"."
"120","Nevada","Stage 2",2020-03-30,2020-10-15,"G"
"121","Nevada","Stage 2",2020-12-15,2021-04-01,"G"
"122","New Hampshire","Stage 2",2020-03-17,2020-07-01,"G"
"123","New Jersey","Stage 2",NA,NA,"."
"124","New Mexico","Stage 2",NA,NA,"."
"125","New York","Stage 2",2020-03-22,2020-06-20,"C"
"126","New York","Stage 2",2020-06-20,2020-07-07,"G"
"127","New York","Stage 2",NA,NA,"."
"128","New York","Stage 2",2020-12-28,2021-05-02,"L"
"129","North Carolina","Stage 2",2020-05-30,2020-06-20,"G"
"130","North Carolina","Stage 2",NA,NA,"."
"131","North Dakota","Stage 2",NA,NA,"."
"132","Northern Mariana Islands","Stage 2",NA,NA,"."
"133","Ohio","Stage 2",NA,NA,"."
"134","Oklahoma","Stage 2",NA,NA,"."
"135","Oregon","Stage 2",NA,NA,"."
"136","Oregon","Stage 2",2020-04-01,2020-07-01,"G"
"137","Oregon","Stage 2",2020-10-01,2021-01-01,"G"
"138","Oregon","Stage 2",2020-06-24,2021-07-01,"L"
"139","Palau","Stage 2",NA,NA,"."
"140","Pennsylvania","Stage 2",NA,NA,"."
"141","Puerto Rico","Stage 2",NA,NA,"."
"142","Rhode Island","Stage 2",2020-04-08,2020-06-02,"C"
"143","South Carolina","Stage 2",2020-03-18,2020-05-15,"C"
"144","South Dakota","Stage 2",NA,NA,"."
