acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.009,['One Direction'],0.726,199987,0.787,0,4cluDES4hQEUhmXj6TXkSo,0,4,0.0596,-2.494,1,What Makes You Beautiful,82,5/25/12,0.0737,124.99,0.888,2012
0.126,['One Direction'],0.514,200400,0.727,0,6M31fPFCYB8Job3MCjjrDV,0,0,0.0978,-6.131,1,They Don't Know About Us,78,11/12/12,0.0492,147.917,0.37,2012
0.811,['One Direction'],0.709,219040,0.22,0,0TAmnCzOtqRfvA38DDLTjj,0,7,0.175,-11.856,1,Little Things,78,11/12/12,0.0327,110.076,0.53,2012
0.0177,['One Direction'],0.637,182867,0.93,0,4My8w8AA1JpG6E5SiAPvJL,0,4,0.452,-2.632,1,Kiss You,74,11/12/12,0.0511,90.014,0.886,2012
0.0542,['One Direction'],0.663,200213,0.857,0,6Vh03bkEfXqekWp7Y1UBRb,0,2,0.144,-2.16,1,Live While We're Young,74,11/12/12,0.0544,126.039,0.931,2012
0.225,['One Direction'],0.6,245493,0.663,0,4nVBt6MZDDP6tRVdQTgxJg,0,3,0.119,-5.802,1,Story of My Life,82,11/25/13,0.0477,121.07,0.286,2013
0.22,['One Direction'],0.574,237933,0.329,0,2afCBiru10AFckfOa49wIa,0,1,0.0986,-6.829,1,You & I,78,11/25/13,0.0274,130.993,0.356,2013
0.0227,['One Direction'],0.652,200107,0.877,0,5T7ZFtCcOgkpjxcuaeZbw0,0,1,0.0789,-2.986,1,Best Song Ever,76,11/25/13,0.0465,118.491,0.486,2013
0.859,['One Direction'],0.672,226600,0.52,0,5O2P9iiztwhomNh8xkR9lJ,0,8,0.115,-7.747,1,Night Changes,82,11/17/14,0.0353,120.001,0.37,2014
0.22,['One Direction'],0.681,248360,0.582,0,3JjnGLK8IxkNLvo8Lb3KOM,0,6,0.119,-7.76,0,18,80,11/17/14,0.0313,124.038,0.221,2014
