"","State","County","PVI","SocialDistancing"
"1","Missouri","St. Louis City",0.658095642930701,1
"2","Missouri","Johnson",0.655742836034808,0.810810810810811
"3","Mississippi","Neshoba",0.607684003309814,1
"4","Virginia","Petersburg City",0.601020389928973,1
"5","Georgia","Bacon",0.589528111423244,0.72972972972973
"6","Mississippi","Pike",0.586050916968354,1
"7","Oklahoma","Muskogee",0.582028723984317,1
"8","Georgia","Crisp",0.580621783706565,0.810810810810811
"9","Virginia","Emporia City",0.579078711706635,1
"10","New York","Bronx",0.578702331573211,1
"11","Georgia","Toombs",0.576387973333856,1
"12","Mississippi","Leake",0.576172582874184,0.72972972972973
"13","Pennsylvania","Philadelphia",0.575869099049936,1
"14","Mississippi","Newton",0.573933044140812,0.72972972972973
"15","Mississippi","Scott",0.573406535091387,0.72972972972973
"16","Oklahoma","Comanche",0.572022120774358,1
"17","Mississippi","Lauderdale",0.571046953769138,1
"18","Georgia","Muscogee",0.570411248413255,1
"19","Mississippi","Yazoo",0.569676991923917,0.648648648648649
"20","Oklahoma","Ottawa",0.567892926426432,0.810810810810811
"21","Mississippi","Leflore",0.567706354937552,0.72972972972973
"22","Mississippi","Sunflower",0.566933774062327,0.648648648648649
"23","North Carolina","Robeson",0.566790965666096,0.72972972972973
"24","South Carolina","Dillon",0.566655232966436,0.72972972972973
"25","Georgia","Colquitt",0.565992150574606,0.72972972972973
"26","North Carolina","Nash",0.565732526326934,1
"27","Georgia","Clayton",0.564850990331081,1
"28","Mississippi","Jones",0.564633218753312,1
"29","Mississippi","Tate",0.564044653527737,1
"30","North Carolina","Scotland",0.563936451606582,0.72972972972973
"31","Virginia","Hopewell City",0.56363076758689,1
"32","North Carolina","Wilson",0.563549670938557,1
"33","Mississippi","Hinds",0.562876197903775,1
"34","South Carolina","Greenwood",0.562691986430354,1
"35","Mississippi","Bolivar",0.562027264649292,0.72972972972973
"36","South Carolina","Clarendon",0.561773242846613,0.72972972972973
"37","Mississippi","Forrest",0.561700558036793,1
"38","Virginia","Galax City",0.561204007026512,1
"39","Georgia","Peach",0.560736899543517,1
"40","Mississippi","Adams",0.560702943438029,0.72972972972973
"41","Oklahoma","Marshall",0.560690366409669,1
"42","Georgia","Butts",0.560102479849397,1
"43","Georgia","Floyd",0.560081917392877,1
"44","Oklahoma","Cherokee",0.559961115239359,0.72972972972973
"45","Georgia","Richmond",0.55964647601582,1
"46","Mississippi","Warren",0.559639994377775,1
"47","North Carolina","Halifax",0.55961838646555,0.72972972972973
"48","Michigan","Wayne",0.559495238689757,1
"49","South Carolina","Sumter",0.559020086027248,1
"50","Georgia","Spalding",0.558713159740937,1
"51","New Jersey","Essex",0.557956501768446,1
"52","Alabama","Talladega",0.557107645936187,1
"53","Texas","Liberty",0.556761815562021,1
"54","Mississippi","Copiah",0.556571829041054,0.648648648648649
"55","Mississippi","Simpson",0.556502974575474,0.72972972972973
"56","Texas","Hunt",0.55618140057962,1
"57","North Carolina","Edgecombe",0.555702318477645,0.648648648648649
"58","Texas","Brazos",0.555698925841207,1
"59","North Carolina","Sampson",0.555694446394053,0.72972972972973
"60","Texas","Angelina",0.555188763316658,1
"61","Virginia","Newport News City",0.554914023408737,1
"62","Oklahoma","Seminole",0.554409425539346,0.72972972972973
"63","Oklahoma","Carter",0.554185170857949,1
"64","Alabama","Pike",0.553730606744917,1
"65","Virginia","Norfolk City",0.553648910556388,1
"66","Mississippi","Harrison",0.553438797795416,1
"67","Virginia","Portsmouth City",0.552932791422031,1
"68","Texas","Nacogdoches",0.552747940263571,1
"69","North Carolina","Columbus",0.552575365180131,0.72972972972973
"70","Alabama","Barbour",0.55220182807898,0.72972972972973
"71","Texas","Polk",0.549431908453933,0.810810810810811
"72","Georgia","Lowndes",0.54905325024193,1
"73","Missouri","Butler",0.548695730750514,1
"74","North Carolina","Alamance",0.548541008918075,1
"75","Virginia","Hampton City",0.548119177646413,1
"76","South Carolina","Chesterfield",0.548037761540956,0.72972972972973
"77","Georgia","Whitfield",0.547809357432684,1
"78","Mississippi","Holmes",0.547451402514928,0.459459459459459
"79","North Carolina","Vance",0.547374870241402,0.72972972972973
"80","Alabama","Russell",0.547200186346094,0.810810810810811
"81","North Carolina","Lenoir",0.546998496616817,0.810810810810811
"82","Texas","Orange",0.54678883385348,1
"83","Oklahoma","Pottawatomie",0.546779974665968,1
"84","Alabama","Macon",0.54635236525677,0.648648648648649
"85","Texas","Bowie",0.546301037552178,1
"86","Maryland","Baltimore City",0.546274194904589,1
"87","South Carolina","Darlington",0.546012699196103,1
"88","Georgia","Dougherty",0.545982758341324,1
"89","South Carolina","Orangeburg",0.545963139184881,0.72972972972973
"90","Mississippi","Yalobusha",0.545768936018793,0.648648648648649
"91","North Carolina","Cleveland",0.545626494916682,1
"92","North Carolina","Richmond",0.54555607852082,0.72972972972973
"93","New York","Kings",0.544875554595807,1
"94","Georgia","Baldwin",0.544815484097139,1
"95","Mississippi","Marion",0.54468051888816,0.72972972972973
"96","Mississippi","Attala",0.544607596041079,0.648648648648649
"97","North Carolina","Cumberland",0.544007836031296,1
"98","Alabama","Montgomery",0.543902518738956,1
"99","North Carolina","Wayne",0.542988800423347,1
"100","Missouri","Mississippi",0.542944702968529,0.459459459459459
"101","Georgia","Wayne",0.542938081972271,0.72972972972973
"102","Virginia","Richmond City",0.542860128522301,1
"103","Oklahoma","Choctaw",0.542688233648444,0.54054054054054
"104","Illinois","Cook",0.542584861399881,1
"105","Texas","Jefferson",0.542567651328946,1
"106","Mississippi","Lafayette",0.542267173496122,1
"107","Mississippi","Jefferson",0.541986705473588,0.459459459459459
"108","Georgia","Troup",0.541841289617821,1
"109","Virginia","Williamsburg City",0.541787877347198,1
"110","Mississippi","Lincoln",0.54173118773625,0.810810810810811
"111","Mississippi","Kemper",0.541715227205334,0.459459459459459
"112","South Carolina","Williamsburg",0.541633433829923,0.648648648648649
"113","Mississippi","Marshall",0.541579879283652,0.648648648648649
"114","Georgia","Bibb",0.541127333006386,1
"115","North Carolina","Rowan",0.5411270047248,1
"116","North Carolina","Anson",0.541076784508635,0.648648648648649
"117","Mississippi","Noxubee",0.541075576652559,0.459459459459459
"118","Kentucky","Christian",0.541049563912713,1
"119","Mississippi","Claiborne",0.541032855576869,0.459459459459459
"120","Texas","Hidalgo",0.540999335958339,1
"121","Texas","Walker",0.540958673065892,1
"122","Texas","McLennan",0.540904907263093,1
"123","Tennessee","Bradley",0.540317350217514,1
"124","Florida","Polk",0.5401192439385,1
"125","South Carolina","Florence",0.540111060144939,1
"126","Georgia","Decatur",0.540078191233437,0.72972972972973
"127","Mississippi","Coahoma",0.540026696893176,0.648648648648649
"128","South Carolina","Laurens",0.539757100237394,0.72972972972973
"129","Louisiana","Washington",0.539566978157595,0.72972972972973
"130","Virginia","Winchester City",0.539479584850721,1
"131","New Jersey","Passaic",0.539235308782936,1
"132","Oklahoma","Craig",0.538962979557095,0.72972972972973
"133","South Carolina","Spartanburg",0.538524279538272,1
"134","Missouri","St. Francois",0.538353815531229,1
"135","South Carolina","Newberry",0.538001034693729,0.72972972972973
"136","Texas","El Paso",0.537861877614613,1
"137","Georgia","Liberty",0.537851271968234,0.810810810810811
"138","Mississippi","Oktibbeha",0.537819145398266,1
"139","Arizona","Pinal",0.537658267303466,0.72972972972973
"140","Oklahoma","Caddo",0.537639421327378,0.648648648648649
"141","Georgia","Gordon",0.5371872770916,1
"142","Mississippi","Tallahatchie",0.537049388391946,0.459459459459459
"143","South Carolina","Jasper",0.536681486576873,0.72972972972973
"144","New Jersey","Hudson",0.536532612710406,1
"145","South Carolina","Pickens",0.536530585034645,1
"146","Michigan","Jackson",0.536259418129709,1
"147","Oklahoma","Kay",0.536164505775984,0.72972972972973
"148","Virginia","Martinsville City",0.536064416568026,1
"149","Georgia","Mitchell",0.535850078437736,0.648648648648649
"150","Virginia","Lynchburg City",0.535501793634747,1
"151","South Dakota","Buffalo",0.535268660225588,0
"152","North Carolina","Bladen",0.53499168346142,0.648648648648649
"153","Oklahoma","McCurtain",0.534963873154946,0.648648648648649
"154","New Jersey","Cumberland",0.534842750673437,0.810810810810811
"155","Oklahoma","Bryan",0.534842349132741,1
"156","Virginia","Roanoke City",0.534685846428598,1
"157","Missouri","Taney",0.534599022858168,1
"158","Arkansas","Crittenden",0.534531709345455,0.72972972972973
"159","Oklahoma","Pittsburg",0.533990568422447,0.72972972972973
"160","Georgia","Jeff Davis",0.533912286452767,0.72972972972973
"161","Kentucky","Adair",0.533840848792089,0.72972972972973
"162","Alabama","Mobile",0.533786559446849,1
"163","Texas","Matagorda",0.533783466981763,0.72972972972973
"164","Arkansas","St. Francis",0.533713639376092,0.648648648648649
"165","New Jersey","Atlantic",0.533623828679118,1
"166","Georgia","Clarke",0.533256630217959,1
"167","Michigan","Berrien",0.533132518817838,1
"168","North Carolina","Duplin",0.532801140406292,0.72972972972973
"169","Missouri","Scott",0.53218293606988,1
"170","Georgia","Stephens",0.532151207974359,1
"171","Kentucky","Whitley",0.531997340963726,1
"172","Texas","Gregg",0.531644625461977,1
"173","Mississippi","Washington",0.531577206226568,0.72972972972973
"174","Georgia","Tattnall",0.531278880325735,0.72972972972973
"175","Oklahoma","Le Flore",0.531205915670141,0.72972972972973
"176","Georgia","Candler",0.53119967042788,0.72972972972973
"177","Ohio","Clark",0.530897342783472,1
"178","Florida","Putnam",0.53071777675943,0.810810810810811
"179","Texas","Caldwell",0.530693750383842,0.72972972972973
"180","Georgia","DeKalb",0.530240390209901,1
"181","Kentucky","Knox",0.530221189216217,0.72972972972973
"182","Georgia","Coffee",0.530200971432099,1
"183","Indiana","St. Joseph",0.53009183172262,1
"184","New York","Queens",0.529970804479779,1
"185","Georgia","Miller",0.529896265208393,0.459459459459459
"186","North Carolina","Hertford",0.529889392873344,0.648648648648649
"187","Louisiana","Rapides",0.529855228633671,1
"188","Tennessee","Bedford",0.529792763971642,1
"189","Texas","Waller",0.52959190573512,0.810810810810811
"190","Missouri","Buchanan",0.529295881758871,1
"191","Georgia","Chatham",0.5292587625851,1
"192","Mississippi","Calhoun",0.529153969313933,0.648648648648649
