"","Rank","Country or Area","Continent","Region","Population_2015"
"3","1","China","Asia","Eastern Asia","1,403,500,365"
"4","2","India","Asia","Southern Asia","1,324,171,354"
"5","3","United States","Americas","Northern America","322,179,605"
"6","4","Indonesia","Asia","South-eastern Asia","261,115,456"
"7","5","Brazil","Americas","South America","207,652,865"
"8","6","Pakistan","Asia","Southern Asia","193,203,476"
"9","7","Nigeria","Africa","Western Africa","185,989,640"
"10","8","Bangladesh","Asia","Southern Asia","162,951,560"
"11","9","Russia","Europe","Eastern Europe","143,964,513"
"12","10","Mexico","Americas","Central America","127,540,423"
"13","11","Japan","Asia","Eastern Asia","127,748,513"
"14","12","Ethiopia","Africa","Eastern Africa","102,403,196"
"15","13","Philippines","Asia","South-eastern Asia","103,320,222"
"16","14","Egypt","Africa","Northern Africa","95,688,681"
"17","15","Vietnam","Asia","South-eastern Asia","94,569,072"
"18","16","Germany","Europe","Western Europe","81,914,672"
"19","17","Democratic Republic of the Congo","Africa","Middle Africa","78,736,153"
"20","18","Iran","Asia","Southern Asia","80,277,428"
"21","19","Turkey","Asia","Western Asia","79,512,426"
"22","20","Thailand","Asia","South-eastern Asia","68,863,514"
"23","21","United Kingdom","Europe","Northern Europe","65,788,574"
"24","22","France","Europe","Western Europe","64,720,690"
"25","23","Italy","Europe","Southern Europe","59,429,938"
"26","24","Tanzania","Africa","Eastern Africa","55,572,201"
"27","25","South Africa","Africa","Southern Africa","56,015,473"
"28","26","Myanmar","Asia","South-eastern Asia","52,885,223"
"29","27","South Korea","Asia","Eastern Asia","50,791,919"
"30","28","Colombia","Americas","South America","48,653,419"
"31","29","Kenya","Africa","Eastern Africa","48,461,567"
"32","30","Spain","Europe","Southern Europe","46,347,576"
"33","31","Argentina","Americas","South America","43,847,430"
"34","32","Ukraine","Europe","Eastern Europe","44,438,625"
"35","33","Uganda","Africa","Eastern Africa","41,487,965"
"36","34","Algeria","Africa","Northern Africa","40,606,052"
"37","35","Sudan","Africa","Northern Africa","39,578,828"
"38","36","Iraq","Asia","Western Asia","37,202,572"
"39","37","Poland","Europe","Eastern Europe","38,224,410"
"40","38","Canada","Americas","Northern America","36,289,822"
"41","39","Morocco","Africa","Northern Africa","35,276,786"
"42","40","Afghanistan","Asia","Southern Asia","34,656,032"
"43","41","Saudi Arabia","Asia","Western Asia","32,275,687"
"44","42","Peru","Americas","South America","31,773,839"
"45","43","Venezuela","Americas","South America","31,568,179"
"46","44","Uzbekistan","Asia","Central Asia","31,446,795"
"47","45","Malaysia","Asia","South-eastern Asia","31,187,265"
"48","46","Angola","Africa","Middle Africa","28,813,463"
"49","47","Mozambique","Africa","Eastern Africa","28,829,476"
"50","48","Nepal","Asia","Southern Asia","28,982,771"
"51","49","Ghana","Africa","Western Africa","28,206,728"
"52","50","Yemen","Asia","Western Asia","27,584,213"
"53","51","Madagascar","Africa","Eastern Africa","24,894,551"
"54","52","North Korea","Asia","Eastern Asia","25,368,620"
"55","53","Australia","Oceania","Australia and New Zealand","24,125,848"
"56","54","Ivory Coast","Africa","Western Africa","23,695,919"
"57","55","Cameroon","Africa","Middle Africa","23,439,189"
"58","56","Taiwan","Asia","Eastern Asia","23,556,706"
"59","57","Niger","Africa","Western Africa","20,672,987"
"60","58","Sri Lanka","Asia","Southern Asia","20,798,492"
"61","59","Romania","Europe","Eastern Europe","19,778,083"
"62","60","Burkina Faso","Africa","Western Africa","18,646,433"
"63","61","Malawi","Africa","Eastern Africa","18,091,575"
"64","62","Mali","Africa","Western Africa","17,994,837"
"65","63","Syria","Asia","Western Asia","18,430,453"
"66","64","Kazakhstan","Asia","Central Asia","17,987,736"
"67","65","Chile","Americas","South America","17,909,754"
"68","66","Zambia","Africa","Eastern Africa","16,591,390"
"69","67","Netherlands","Europe","Western Europe","16,987,330"
"70","68","Guatemala","Americas","Central America","16,582,469"
"71","69","Ecuador","Americas","South America","16,385,068"
"72","70","Zimbabwe","Africa","Eastern Africa","16,150,362"
"73","71","Cambodia","Asia","South-eastern Asia","15,762,370"
"74","72","Senegal","Africa","Western Africa","15,411,614"
"75","73","Chad","Africa","Middle Africa","14,452,543"
"76","74","Somalia","Africa","Eastern Africa","14,317,996"
"77","75","Guinea","Africa","Western Africa","12,395,924"
"78","76","South Sudan","Africa","Eastern Africa","12,230,730"
"79","77","Rwanda","Africa","Eastern Africa","11,917,508"
"80","78","Tunisia","Africa","Northern Africa","11,403,248"
"81","79","Cuba","Americas","Caribbean","11,475,982"
"82","80","Belgium","Europe","Western Europe","11,358,379"
"83","81","Benin","Africa","Western Africa","10,872,298"
"84","82","Greece","Europe","Southern Europe","11,183,716"
"85","83","Bolivia","Americas","South America","10,887,882"
"86","84","Haiti","Americas","Caribbean","10,847,334"
"87","85","Burundi","Africa","Eastern Africa","10,524,117"
"88","86","Dominican Republic","Americas","Caribbean","10,648,791"
"89","87","Czech Republic","Europe","Eastern Europe","10,610,947"
"90","88","Portugal","Europe","Southern Europe","10,371,627"
"91","89","Sweden","Europe","Northern Europe","9,837,533"
"92","90","Azerbaijan","Asia","Western Asia","9,725,376"
