"","Date","PlayerID","Training","SessionType","Duration","RPE","SessionLoad","DailyLoad","AcuteLoad","ChronicLoad","AcuteChronicRatio","ObjectiveRating","FocusRating","BestOutOfMyself"
"1","2018-07-21",13,"Yes","Mobility/Recovery",5,0.2,0,446,323.1,303.25,1.07,NA,NA,"Not at all"
"2","2018-07-21",13,"Yes","Game",29,7.5,203,NA,NA,NA,NA,NA,NA,"Not at all"
"3","2018-07-21",13,"Yes","Game",27,9,243,NA,NA,NA,NA,NA,NA,"Not at all"
"4","2018-07-20",11,"Yes","Game",36,5.9,216,534,256.3,344.18,0.74,9,10,"Absolutely"
"5","2018-07-20",11,"Yes","Game",36,8.2,288,NA,NA,NA,NA,9,10,"Absolutely"
"6","2018-07-20",11,"Yes","Mobility/Recovery",15,2.3,30,NA,NA,NA,NA,9,10,"Absolutely"
"7","2018-07-20",13,"Yes","Game",27,5.6,162,306,259.4,287.32,0.9,NA,NA,"Not at all"
"8","2018-07-20",13,"Yes","Game",24,6.3,144,NA,NA,NA,NA,NA,NA,"Not at all"
"9","2018-07-20",13,"Yes","Mobility/Recovery",10,0,0,NA,NA,NA,NA,NA,NA,"Not at all"
"10","2018-07-19",1,"Yes","Skills",60,3.2,180,180,87.9,140.54,0.63,NA,NA,NA
"11","2018-07-19",2,"Yes","Skills",60,3.9,240,240,117.1,279.96,0.42,NA,NA,NA
"12","2018-07-19",6,"Yes","Conditioning",20,8.6,180,380,107.1,301.54,0.36,8,8,NA
"13","2018-07-19",6,"Yes","Strength",30,4.3,120,NA,NA,NA,NA,8,8,NA
"14","2018-07-19",6,"Yes","Combat",20,4.1,80,NA,NA,NA,NA,8,8,NA
"15","2018-07-19",7,"Yes","Skills",60,5,300,300,141.4,342.32,0.41,NA,NA,NA
"16","2018-07-19",10,"Yes","Skills",75,3.8,300,300,122.1,250,0.49,NA,NA,NA
"17","2018-07-19",11,"Yes","Skills",90,4.9,450,450,180,325.11,0.55,9,9,"Absolutely"
"18","2018-07-19",13,"Yes","Skills",90,6,540,540,215.7,276.39,0.78,NA,NA,"Not at all"
"19","2018-07-19",13,"Yes","Mobility/Recovery",30,0,0,NA,NA,NA,NA,NA,NA,"Not at all"
"20","2018-07-19",16,"Yes","Skills",60,4,240,240,102.9,348.57,0.3,7,10,"Absolutely"
"21","2018-07-18",13,"Yes","Mobility/Recovery",30,0,0,0,138.6,280.68,0.49,NA,NA,"Not at all"
"22","2018-07-17",1,"Yes","Skills",60,2.7,180,195,62.1,173.93,0.36,NA,NA,NA
"23","2018-07-17",1,"Yes","Mobility/Recovery",30,0.1,15,NA,NA,NA,NA,NA,NA,NA
"24","2018-07-17",2,"Yes","Skills",60,4,240,280,181.4,349.07,0.52,NA,NA,NA
"25","2018-07-17",2,"Yes","Mobility/Recovery",40,1,40,NA,NA,NA,NA,NA,NA,NA
"26","2018-07-17",3,"Yes","Skills",75,5,375,375,190.7,392.61,0.49,NA,NA,"Absolutely"
"27","2018-07-17",4,"Yes","Skills",60,4.8,300,300,107.1,309.11,0.35,7,8,NA
"28","2018-07-17",5,"Yes","Skills",60,5.2,300,300,42.9,100.71,0.43,9,9,NA
"29","2018-07-17",6,"Yes","Speed",30,3.3,90,370,52.9,333.5,0.16,NA,NA,NA
"30","2018-07-17",6,"Yes","Conditioning",35,7.9,280,NA,NA,NA,NA,NA,NA,NA
"31","2018-07-17",7,"Yes","Skills",75,6.4,450,450,205.7,401.79,0.51,NA,NA,NA
"32","2018-07-17",10,"Yes","Skills",60,3.3,240,240,79.3,298.57,0.27,NA,NA,NA
"33","2018-07-17",11,"Yes","Skills",90,4.9,450,450,210,391.36,0.54,9,9,"Absolutely"
"34","2018-07-17",13,"Yes","Skills",90,5.6,540,540,268.6,309.25,0.87,NA,NA,"Not at all"
"35","2018-07-17",13,"Yes","Mobility/Recovery",60,0,0,NA,NA,NA,NA,NA,NA,"Not at all"
"36","2018-07-17",14,"Yes","Skills",90,5.2,450,450,137.1,330.93,0.41,NA,NA,NA
"37","2018-07-17",15,"Yes","Skills",60,4.3,240,240,34.3,161.68,0.21,8,9,"Absolutely"
"38","2018-07-17",16,"Yes","Skills",60,2.9,180,220,147.9,401.25,0.37,10,10,"Absolutely"
"39","2018-07-17",16,"Yes","Mobility/Recovery",40,1.1,40,NA,NA,NA,NA,10,10,"Absolutely"
"40","2018-07-16",1,"Yes","Skills",60,2.7,180,240,34.3,166.96,0.21,NA,NA,NA
"41","2018-07-16",1,"Yes","Speed",30,2.3,60,NA,NA,NA,NA,NA,NA,NA
"42","2018-07-16",2,"Yes","Speed",20,2.7,60,240,141.4,339.07,0.42,NA,NA,NA
"43","2018-07-16",2,"Yes","Skills",50,2.5,150,NA,NA,NA,NA,NA,NA,NA
"44","2018-07-16",2,"Yes","Mobility/Recovery",15,1.8,30,NA,NA,NA,NA,NA,NA,NA
"45","2018-07-16",3,"Yes","Speed",30,4.3,120,360,137.1,379.21,0.36,NA,NA,NA
"46","2018-07-16",3,"Yes","Skills",60,4.2,240,NA,NA,NA,NA,NA,NA,NA
"47","2018-07-16",7,"Yes","Skills",60,3.2,180,240,141.4,385.71,0.37,NA,NA,NA
"48","2018-07-16",7,"Yes","Speed",20,3.3,60,NA,NA,NA,NA,NA,NA,NA
"49","2018-07-16",10,"Yes","Speed",25,2.4,75,315,45,290,0.16,7,8,NA
"50","2018-07-16",10,"Yes","Skills",60,4.4,240,NA,NA,NA,NA,7,8,NA
"51","2018-07-16",11,"Yes","Skills",90,3.7,360,360,145.7,375.29,0.39,9,9,"Absolutely"
"52","2018-07-16",13,"Yes","Speed",20,3.9,80,430,191.4,289.96,0.66,NA,NA,"Not at all"
"53","2018-07-16",13,"Yes","Skills",70,5,350,NA,NA,NA,NA,NA,NA,"Not at all"
"54","2018-07-16",13,"Yes","Mobility/Recovery",20,0,0,NA,NA,NA,NA,NA,NA,"Not at all"
