ISO3,NAME,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
ALB,ALBANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,2,1,1,2,4,3,5,2,2,2,2,2,3,3,7,5,6,10,11,12,10,9,10,12,12,13,13,14,16,19,9,9,7,7,7,8,8,18,13,12,14,14,12,13,14,11,13,16,11,8,9,9,8,7,6,6,7,8,8,7,6,5,5
DZA,ALGERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,2,3,4,4,4,5,5,5,6,7,7,7,8,9,10,12,13,14,14,15,16,17,17,18,18,19,21,23,23,23,22,21,21,21,22,23,24,25,27,27,28,28
AGO,ANGOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,2,3,5,4,3,5,4,4,3,3,2,4,4,4,4,3,3,3,4,4,4,5,5,5,5,5,5,6,5,5,5,5,6,6,7,7,8,8,8
ARG,ARGENTINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,6,7,9,12,16,17,18,19,18,22,25,27,27,28,30,32,33,36,40,43,46,48,47,45,40,43,45,44,46,48,51,52,53,58,64,69,62,69,66,67,72,64,71,74,76,77,81,93,96,102,93,94,91,82,86,84,87,90,83,77,72,68,68,59,58,69,67,57,54,58,58,57,58,54,55,63,58,53,51,47,45,46,61,50
ARM,ARMENIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,3,4,3,3,3,4,5,3,3,4,4,5,6,7,9,10,11,13,15,17,19,21,23,26,28,31,35,38,42,46,52,56,59,62,66,69,73,75,76,75,77,77,79,80,79,80,81,73,93,57,18,6,5,3,2,2,4,2,2,2,3,3,4
AUS,AUSTRALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,1,2,2,2,3,4,5,9,9,11,13,10,0,11,12,13,15,16,17,19,21,16,21,23,27,26,28,27,29,35,41,51,52,44,67,79,90,95,105,115,125,140,134,161,149,148,160,177,189,183,228,229,214,215,218,207,209,224,221,223,212,189,166,146,148,135,131,127,139,145,147,143,137,145,148,157,162,164,157,160,172,177,175,196,188,181
AUT,AUSTRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,6,7,8,9,10,8,7,6,4,3,3,2,2,2,1,1,2,2,2,2,3,3,4,4,5,5,4,5,4,4,5,4,1,2,6,10,13,17,18,7,13,14,15,18,26,36,40,43,56,99,78,82,91,96,113,125,148,174,207,213,233,235,260,266,222,228,232,244,215,196,213,224,226,198,136,101,97,71,54,49,53,47,37,33,33,32,27,29,27,25,25,24,23,20,19,19,19,19,16,16
AZE,AZERBAIJAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,1,1,2,2,2,2,2,3,3,3,5,6,5,6,7,8,9,9,10,10,10,11,11,10,14,8,10,11,14,16,10,11,13,15,18,22,25,29,33,37,42,49,57,64,71,79,88,96,105,119,129,23,25,28,29,30,30,32,32,33,33,33,32,32,32,32,31,30,29,28,230,264,144,191,162,156,152,146,158,163,171,90,80,98,84,89
BHR,BAHRAIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,2,2,1,2,2,1,3,3,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,4,4,4,5,6
BGD,BANGLADESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,42,45,50,53,52,56,61,69,67,65,55,57,55,59,57,53,59,57,52,58,65,69,83,85,100,100,98,88,106,107,108,106,113
BLR,BELARUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,46,51,57,67,78,89,101,112,124,137,156,174,191,208,224,245,263,282,313,335,365,394,435,456,470,490,517,529,558,566,565,560,563,565,570,572,564,562,569,551,526,363,278,246,210,190,155,150,134,106,100,97,90,93,90
BEL,BELGIUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,8,12,14,15,15,14,25,27,29,30,32,32,40,34,46,46,28,0,0,0,0,0,0,0,0,51,58,61,77,93,102,116,127,153,169,192,221,228,240,264,314,347,419,501,500,564,618,677,756,713,764,804,660,590,679,645,679,633,502,393,357,260,201,159,160,139,130,102,97,112,115,107,97,83,82,83,82,67,58,61,57,65,68,60
