"","Country...territory","Measure.Names","Month.of.Date","Report.Epi.Week","Year.of.Date","Country...territory.1","Date","Measure.Values","Laboratory.confirmed.cases","Suspected.cases"
"1","Aruba","Suspected","January",1,2016,"Aruba","January, 2016","0",0,"0"
"2","Aruba","Confirmed ","January",1,2016,"Aruba","January, 2016","0",0,"0"
"3","Aruba","Suspected","January",2,2016,"Aruba","January, 2016","0",0,"0"
"4","Aruba","Confirmed ","January",2,2016,"Aruba","January, 2016","0",0,"0"
"5","Aruba","Suspected","January",3,2016,"Aruba","January, 2016","0",0,"0"
"6","Aruba","Confirmed ","January",3,2016,"Aruba","January, 2016","0",0,"0"
"7","Aruba","Suspected","January",4,2016,"Aruba","January, 2016","0",0,"0"
"8","Aruba","Confirmed ","January",4,2016,"Aruba","January, 2016","0",0,"0"
"9","Barbados","Suspected","January",1,2016,"Barbados","January, 2016","0",3,"0"
"10","Barbados","Confirmed ","January",1,2016,"Barbados","January, 2016","3",3,"0"
"11","Barbados","Suspected","January",2,2016,"Barbados","January, 2016","0",0,"0"
"12","Barbados","Confirmed ","January",2,2016,"Barbados","January, 2016","0",0,"0"
"13","Barbados","Suspected","January",3,2016,"Barbados","January, 2016","0",0,"0"
"14","Barbados","Confirmed ","January",3,2016,"Barbados","January, 2016","0",0,"0"
"15","Barbados","Suspected","January",4,2016,"Barbados","January, 2016","0",0,"0"
"16","Barbados","Confirmed ","January",4,2016,"Barbados","January, 2016","0",0,"0"
"17","Bolivia","Suspected","January",1,2016,"Bolivia","January, 2016","0",0,"0"
"18","Bolivia","Confirmed ","January",1,2016,"Bolivia","January, 2016","0",0,"0"
"19","Bolivia","Suspected","January",2,2016,"Bolivia","January, 2016","0",1,"0"
"20","Bolivia","Confirmed ","January",2,2016,"Bolivia","January, 2016","1",1,"0"
"21","Bolivia","Suspected","January",3,2016,"Bolivia","January, 2016","0",0,"0"
"22","Bolivia","Confirmed ","January",3,2016,"Bolivia","January, 2016","0",0,"0"
